,Protons,Neutrons,Atomic Weight,Mass Excess,Binding Energy,Half-life
2342,78,115,192.962987401,-34.477014MeV,7.933773MeV,50.73566717402 y
2343,78,116,193.962680253,-34.763121MeV,7.935957MeV,Stable
2344,78,117,194.964791134,-32.796847MeV,7.926567MeV,Stable
2345,78,118,195.964951521,-32.647448MeV,7.926544MeV,Stable
2346,78,119,196.967340182,-30.422425MeV,7.915984MeV,19.8915 h
2347,78,120,197.96789279,-29.907673MeV,7.914169MeV,Stable
2348,78,121,198.970593094,-27.392356MeV,7.902319MeV,30.8 m
2349,78,122,199.971440677,-26.602838MeV,7.899216MeV,12.5 h
2350,78,123,200.974512868,-23.741111MeV,7.885835MeV,2.5 m
2351,78,124,201.97574,-22.598MeV,7.881MeV,1.851851851852 d
2352,79,90,168.99808,-1.788MeV,7.716MeV,150 µs
2353,79,91,169.996122,-3.612MeV,7.729MeV,286 µs
2354,79,92,170.991878881,-7.564773MeV,7.754121MeV,17 µs
2355,79,93,171.990035,-9.282MeV,7.766MeV,6.3 ms
2356,79,94,172.98623738,-12.819798MeV,7.788163MeV,25 ms
2357,79,95,173.984761,-14.195MeV,7.798MeV,139 ms
2358,79,96,174.981274107,-17.443057MeV,7.817818MeV,100 ms
2359,79,97,175.980099,-18.537MeV,7.825MeV,1.08 s
2360,79,98,176.976864908,-21.550199MeV,7.843887MeV,1.46 s
2361,79,99,177.97603192,-22.326122MeV,7.849524MeV,2.6 s
2362,79,100,178.973212812,-24.952104MeV,7.865433MeV,3.3 s
2363,79,101,179.972521124,-25.596408MeV,7.870156MeV,8 s
2364,79,102,180.970079048,-27.871187MeV,7.883835MeV,13.7 s
2365,79,103,181.969617874,-28.300768MeV,7.887226MeV,15.6 s
2366,79,104,182.967593034,-30.186894MeV,7.898538MeV,42.8 s
2367,79,105,183.967451524,-30.31871MeV,7.900194MeV,20.6 s
2368,79,106,184.965789411,-31.866958MeV,7.909488MeV,4.25 m
2369,79,107,185.965952703,-31.714853MeV,7.90954MeV,10.7 m
2370,79,108,186.964567541,-33.005122MeV,7.917305MeV,8.333333333333 m
2371,79,109,187.965323661,-32.300802MeV,7.914378MeV,8.833333333333 m
2372,79,110,188.963948286,-33.581955MeV,7.921987MeV,28.66666666667 m
2373,79,111,189.964700339,-32.881422MeV,7.919086MeV,42.83333333333 m
2374,79,112,190.963704225,-33.809297MeV,7.924741MeV,3.18 h
2375,79,113,191.964812953,-32.776523MeV,7.920125MeV,4.944444444444 h
2376,79,114,192.964149715,-33.394325MeV,7.92411MeV,17.65 h
2377,79,115,193.96536525,-32.262062MeV,7.919032MeV,1.584490740741 d
2378,79,116,194.96503464,-32.570023MeV,7.921392MeV,186.1111111111 d
2379,79,117,195.966569813,-31.140018MeV,7.914861MeV,6.166898148148 d
2380,79,118,196.966568662,-31.141091MeV,7.915661MeV,Stable
2381,79,119,197.968242303,-29.582104MeV,7.908573MeV,2.695173611111 d
2382,79,120,198.968765193,-29.095035MeV,7.906943MeV,3.138888888889 d
2383,79,121,199.970725647,-27.268884MeV,7.898635MeV,48.33333333333 m
2384,79,122,200.97165724,-26.401111MeV,7.895176MeV,26 m
2385,79,123,201.973805838,-24.399705MeV,7.88614MeV,28.4 s
2386,79,124,202.975154542,-23.143394MeV,7.880864MeV,1 m
2387,79,125,203.977724,-20.75MeV,7.87MeV,39.8 s
2388,79,126,204.97987,-18.751MeV,7.861MeV,31 s
2389,80,91,171.00376,3.502MeV,7.685MeV,59 µs
2390,80,92,171.998832686,-1.087345MeV,7.713757MeV,290 µs
2391,80,93,172.997242,-2.569MeV,7.724MeV,600 µs
2392,80,94,173.992863695,-6.647425MeV,7.749821MeV,2.1 ms
2393,80,95,174.99142327,-7.989172MeV,7.759325MeV,10.8 ms
2394,80,96,175.98735458,-11.779132MeV,7.782632MeV,20.3 ms
2395,80,97,176.986279158,-12.780882MeV,7.789922MeV,127.3 ms
2396,80,98,177.982483143,-16.316846MeV,7.811368MeV,269 ms
2397,80,99,178.981833861,-16.921649MeV,7.816199MeV,1.08 s
2398,80,100,179.978266394,-20.244723MeV,7.836078MeV,2.58 s
2399,80,101,180.977819311,-20.661178MeV,7.839679MeV,3.6 s
2400,80,102,181.974689964,-23.576146MeV,7.856968MeV,10.83 s
2401,80,103,182.974449841,-23.799819MeV,7.859361MeV,9.5 s
2402,80,104,183.971713051,-26.349123MeV,7.874368MeV,30.9 s
2403,80,105,184.971899086,-26.175833MeV,7.874496MeV,49.1 s
2404,80,106,185.96936179,-28.539309MeV,7.888261MeV,1.38 m
2405,80,107,186.969814236,-28.117858MeV,7.886986MeV,2.4 m
2406,80,108,187.967577049,-30.201784MeV,7.899051MeV,3.25 m
2407,80,109,188.968190034,-29.630792MeV,7.896942MeV,7.666666666667 m
2408,80,110,189.966322449,-31.370436MeV,7.907016MeV,20 m
2409,80,111,190.967157105,-30.59296MeV,7.903805MeV,48.33333333333 m
2410,80,112,191.965634327,-32.011418MeV,7.912065MeV,4.861111111111 h
2411,80,113,192.966665421,-31.050961MeV,7.907914MeV,3.8 h
2412,80,114,193.965439409,-32.192983MeV,7.914643MeV,444 y
2413,80,115,194.966720113,-31.000015MeV,7.909329MeV,10.53055555556 h
2414,80,116,195.965832649,-31.826683MeV,7.914373MeV,Stable
2415,80,117,196.967212908,-30.540979MeV,7.908643MeV,2.6725 d
2416,80,118,197.966769032,-30.954447MeV,7.911553MeV,Stable
2417,80,119,198.968279932,-29.547053MeV,7.905284MeV,Stable
2418,80,120,199.968326004,-29.504137MeV,7.905899MeV,Stable
2419,80,121,200.970302268,-27.663259MeV,7.897564MeV,Stable
2420,80,122,201.970643011,-27.345859MeV,7.896852MeV,Stable
2421,80,123,202.972872484,-25.269119MeV,7.887482MeV,46.594 d
2422,80,124,203.973493933,-24.690242MeV,7.885545MeV,Stable
2423,80,125,204.976073386,-22.287497MeV,7.874731MeV,5.14 m
2424,80,126,205.977514066,-20.945512MeV,7.86917MeV,8.32 m
2425,80,127,206.982588545,-16.218666MeV,7.847312MeV,2.9 m
2426,80,128,207.98594,-13.097MeV,7.833MeV,41.83815618578 m
2427,80,129,208.99104,-8.346MeV,7.812MeV,35 s
2428,80,130,209.99451,-5.114MeV,7.798MeV,10 m
2429,81,95,176.00059,0.55MeV,7.708MeV,10.09886528622 ms
2430,81,96,176.996427286,-3.327962MeV,7.732096MeV,18 ms
2431,81,97,177.994897,-4.754MeV,7.742MeV,60 ms
2432,81,98,178.991089082,-8.300467MeV,7.763666MeV,420 ms
2433,81,99,179.989906,-9.403MeV,7.771MeV,1.5 s
2434,81,100,180.986257447,-12.801105MeV,7.791931MeV,1.4 ms
2435,81,101,181.985667104,-13.351007MeV,7.796487MeV,3.1 s
2436,81,102,182.982192802,-16.587297MeV,7.815674MeV,6.9 s
2437,81,103,183.981873122,-16.885078MeV,7.818681MeV,11 s
2438,81,104,184.978791305,-19.755772MeV,7.835564MeV,19.5 s
2439,81,105,185.978325,-20.190133MeV,7.839167MeV,40 s
2440,81,106,186.975905897,-22.443512MeV,7.852458MeV,51 s
2441,81,107,187.976009782,-22.346744MeV,7.853108MeV,1.183333333333 m
2442,81,108,188.973588428,-24.602221MeV,7.866196MeV,2.333333333333 m
2443,81,109,189.973877149,-24.333279MeV,7.86586MeV,2.666666666667 m
2444,81,110,190.971786154,-26.281028MeV,7.877134MeV,20 m
2445,81,111,191.972225,-25.872246MeV,7.876016MeV,9.666666666667 m
2446,81,112,192.970672,-27.318856MeV,7.884523MeV,21.66666666667 m
2447,81,113,193.9712,-26.827027MeV,7.882951MeV,33.33333333333 m
2448,81,114,194.969774335,-28.155026MeV,7.890727MeV,1.161111111111 h
2449,81,115,195.970481151,-27.496631MeV,7.888289MeV,1.838888888889 h
2450,81,116,196.969574511,-28.34116MeV,7.893505MeV,2.833333333333 h
2451,81,117,197.970483495,-27.494447MeV,7.890127MeV,5.277777777778 h
2452,81,118,198.969877,-28.059394MeV,7.893876MeV,7.416666666667 h
2453,81,119,199.970962672,-27.048096MeV,7.889707MeV,1.087962962963 d
2454,81,120,200.970818891,-27.182028MeV,7.891277MeV,3.0421 d
2455,81,121,201.972105808,-25.983272MeV,7.886234MeV,12.31 d
2456,81,122,202.97234422,-25.761192MeV,7.886052MeV,Stable
2457,81,123,203.973863522,-24.345972MeV,7.880022MeV,3.773465246068 y
2458,81,124,204.974427541,-23.820592MeV,7.878393MeV,Stable
2459,81,125,205.97611032,-22.253094MeV,7.87172MeV,4.202 m
2460,81,126,206.977419429,-21.033666MeV,7.866793MeV,4.766666666667 m
2461,81,127,207.9820187,-16.749473MeV,7.84718MeV,3.053333333333 m
2462,81,128,208.985358952,-13.638048MeV,7.833365MeV,2.2 m
2463,81,129,209.990073689,-9.246298MeV,7.813585MeV,1.3 m
2464,81,130,210.993477,-6.076MeV,7.8MeV,1 m
2465,81,131,211.998228,-1.651MeV,7.78MeV,30 s
2466,82,96,178.003830191,3.5678MeV,7.690866MeV,230 µs
2467,82,97,179.00215,2.003MeV,7.702MeV,3 ms
2468,82,98,179.997918173,-1.939209MeV,7.725688MeV,4.5 ms
2469,82,99,180.996623958,-3.144762MeV,7.734258MeV,45 ms
2470,82,100,181.992671842,-6.826135MeV,7.756338MeV,55 ms
2471,82,101,182.991874629,-7.568734MeV,7.762117MeV,535 ms
2472,82,102,183.988142339,-11.045339MeV,7.782692MeV,490 ms
2473,82,103,184.987609944,-11.541263MeV,7.786932MeV,6.3 s
2474,82,104,185.984238945,-14.681328MeV,7.805343MeV,4.82 s
2475,82,105,186.98391837,-14.979941MeV,7.808363MeV,15.2 s
2476,82,106,187.980874338,-17.815439MeV,7.824844MeV,25.1 s
2477,82,107,188.980807,-17.878165MeV,7.82648MeV,51 s
2478,82,108,189.978081517,-20.416935MeV,7.84113MeV,1.183333333333 m
2479,82,109,190.978265,-20.246022MeV,7.841441MeV,1.33 m
2480,82,110,191.975785171,-22.555968MeV,7.854669MeV,3.5 m
2481,82,111,192.976173234,-22.19449MeV,7.853918MeV,5 m
2482,82,112,193.97401207,-24.2076MeV,7.865416MeV,10.7 m
2483,82,113,194.97454205,-23.713927MeV,7.86394MeV,15 m
2484,82,114,195.972774109,-25.360754MeV,7.8734MeV,36.66666666667 m
2485,82,115,196.973431124,-24.748749MeV,7.871298MeV,8 m
2486,82,116,197.972033959,-26.050199MeV,7.878882MeV,2.452581569511 h
2487,82,117,198.97291665,-25.227978MeV,7.875717MeV,1.5 h
2488,82,118,199.971826675,-26.243283MeV,7.881771MeV,21.5 h
2489,82,119,200.972884511,-25.257915MeV,7.877812MeV,9.333333333333 h
2490,82,120,201.972159133,-25.9336MeV,7.882115MeV,52500 y
2491,82,121,202.973390521,-24.78657MeV,7.877397MeV,2.163333333333 d
2492,82,122,203.973043589,-25.109735MeV,7.879931MeV,1.4×1017 y
2493,82,123,204.974481755,-23.770091MeV,7.87433MeV,1.73×107 y
2494,82,124,205.974465278,-23.78544MeV,7.875361MeV,Stable
2495,82,125,206.975896887,-22.451905MeV,7.869865MeV,Stable
2496,82,126,207.976652071,-21.748455MeV,7.867452MeV,Stable
2497,82,127,208.98109012,-17.61444MeV,7.848647MeV,3.252777777778 h
2498,82,128,209.984188527,-14.728292MeV,7.835964MeV,22.22856418062 y
2499,82,129,210.988736964,-10.49145MeV,7.817MeV,36.16666666667 m
2500,82,130,211.991897543,-7.547389MeV,7.804312MeV,10.63888888889 h
2501,82,131,212.996581499,-3.184313MeV,7.785082MeV,10.2 m
2502,82,132,213.999805408,-0.181261MeV,7.772386MeV,26.83333333333 m
2503,82,133,215.004807,4.477MeV,7.752MeV,36 s
2504,83,101,184.001124,1.047MeV,7.713MeV,6.6 ms
2505,83,102,184.997625,-2.213MeV,7.732MeV,58 µs
2506,83,103,185.996597625,-3.169291MeV,7.739245MeV,15 ms
2507,83,104,186.993157835,-6.373435MeV,7.758155MeV,32 ms
2508,83,105,187.992265154,-7.204962MeV,7.764244MeV,44 ms
2509,83,106,188.989199012,-10.061055MeV,7.78098MeV,674 ms
2510,83,107,189.988295129,-10.903017MeV,7.786939MeV,6.3 s
2511,83,108,190.985786119,-13.240145MeV,7.800665MeV,12.4 s
2512,83,109,191.985457954,-13.545828MeV,7.803666MeV,34.6 s
2513,83,110,192.982959771,-15.872871MeV,7.81711MeV,1.06 m
2514,83,111,193.98283396,-15.990063MeV,7.819025MeV,1.583333333333 m
2515,83,112,194.980650737,-18.023722MeV,7.830748MeV,3.05 m
2516,83,113,195.980666509,-18.009031MeV,7.8319MeV,5.14 m
2517,83,114,196.978864454,-19.687634MeV,7.841636MeV,9.333333333333 m
2518,83,115,197.979206,-19.369486MeV,7.841189MeV,10.3 m
2519,83,116,198.977671961,-20.798434MeV,7.849526MeV,26.66666666667 m
2520,83,117,199.978131829,-20.37007MeV,7.848494MeV,36.33333333333 m
2521,83,118,200.977009036,-21.415944MeV,7.854806MeV,1.716666666667 h
2522,83,119,201.977742324,-20.732892MeV,7.852496MeV,1.71 h
2523,83,120,202.976876001,-21.539866MeV,7.857549MeV,11.76111111111 h
2524,83,121,203.977812736,-20.667303MeV,7.85432MeV,11.21944444444 h
2525,83,122,204.977389366,-21.06167MeV,7.857302MeV,15.3125 d
2526,83,123,205.97849913,-20.027931MeV,7.853323MeV,6.243055555556 d
2527,83,124,206.978470679,-20.054433MeV,7.854504MeV,32.97818366312 y
2528,83,125,207.979742196,-18.870022MeV,7.849852MeV,367833.5870117 y
2529,83,126,208.980398734,-18.258461MeV,7.847985MeV,1.899416539827×1019 y
2530,83,127,209.984120371,-14.791778MeV,7.832541MeV,5.011574074074 d
2531,83,128,210.98726946,-11.858421MeV,7.81977MeV,2.14 m
2532,83,129,211.991285724,-8.117295MeV,7.80331MeV,1.009166666667 h
2533,83,130,212.994384666,-5.230649MeV,7.791016MeV,45.58333333333 m
2534,83,131,213.998711539,-1.200193MeV,7.773492MeV,19.9 m
2535,83,132,215.001769776,1.648537MeV,7.761627MeV,7.666666666667 m
2536,83,133,216.006305943,5.873948MeV,7.743499MeV,2.25 m
2537,83,134,217.00947,8.821MeV,7.731MeV,1.583333333333 m
2538,83,135,218.014316,13.335MeV,7.712MeV,33 s
2539,83,136,N/A,N/A,N/A,N/A
2540,84,104,187.999422048,-0.538359MeV,7.724622MeV,400 µs
2541,84,105,188.998480562,-1.415347MeV,7.731096MeV,3.5 ms
2542,84,106,189.995101185,-4.563217MeV,7.749454MeV,2.46 ms
2543,84,107,190.994574485,-5.053834MeV,7.753708MeV,22 ms
2544,84,108,191.991335149,-8.071257MeV,7.771078MeV,33.2 ms
2545,84,109,192.991025275,-8.359902MeV,7.774129MeV,420 ms
2546,84,110,193.988185606,-11.005037MeV,7.789296MeV,392 ms
2547,84,111,194.988110728,-11.074785MeV,7.7911MeV,4.64 s
2548,84,112,195.98553458,-13.474451MeV,7.804773MeV,5.8 s
2549,84,113,196.98565963,-13.357968MeV,7.805535MeV,1.4 m
2550,84,114,197.983388616,-15.473405MeV,7.817561MeV,1.766666666667 m
2551,84,115,198.983666063,-15.214964MeV,7.817537MeV,5.483333333333 m
2552,84,116,199.981798604,-16.954491MeV,7.827504MeV,11.5 m
2553,84,117,200.982259764,-16.524923MeV,7.82658MeV,15.6 m
2554,84,118,201.980757541,-17.924235MeV,7.834719MeV,44.66666666667 m
2555,84,119,202.981420103,-17.307062MeV,7.832844MeV,36.66666666667 m
2556,84,120,203.980318121,-18.333551MeV,7.839045MeV,3.527777777778 h
2557,84,121,204.981203322,-17.508993MeV,7.836156MeV,1.74 h
2558,84,122,205.980481099,-18.181739MeV,7.840563MeV,8.796296296296 d
2559,84,123,206.981593173,-17.145849MeV,7.836673MeV,5.833333333333 h
2560,84,124,207.981245702,-17.469516MeV,7.839357MeV,2.898 y
2561,84,125,208.982430435,-16.365944MeV,7.835187MeV,102.1055301877 y
2562,84,126,209.982873673,-15.953071MeV,7.834345MeV,138.3761574074 d
2563,84,127,210.986653154,-12.432507MeV,7.818783MeV,515 ms
2564,84,128,211.988867969,-10.36942MeV,7.810243MeV,299 ns
2565,84,129,212.99285728,-6.6534MeV,7.794023MeV,3.72 µs
2566,84,130,213.99520135,-4.469913MeV,7.785115MeV,164.3 µs
2567,84,131,214.999419988,-0.540277MeV,7.768169MeV,1.781 ms
2568,84,132,216.001915035,1.783844MeV,7.758813MeV,145 ms
2569,84,133,217.006334796,5.900825MeV,7.741281MeV,1.53 s
2570,84,134,218.008973037,8.358331MeV,7.731521MeV,3.098 m
2571,84,135,219.013744,12.802MeV,7.713MeV,300 ns
2572,84,136,220.016602,15.465MeV,7.702MeV,300 ns
2573,85,108,192.999843112,-0.14614MeV,7.727518MeV,28 ms
2574,85,109,193.998725085,-1.187575MeV,7.734658MeV,40.39546114489 ms
2575,85,110,194.996268098,-3.476244MeV,7.748121MeV,328 ms
2576,85,111,195.995788077,-3.92338MeV,7.752051MeV,388 ms
2577,85,112,196.993189215,-6.344205MeV,7.76596MeV,388 ms
2578,85,113,197.992837202,-6.672103MeV,7.769159MeV,4.2 s
2579,85,114,198.990532254,-8.819148MeV,7.781466MeV,7.03 s
2580,85,115,199.990351264,-8.987739MeV,7.783758MeV,43.2 s
2581,85,116,200.988416999,-10.789496MeV,7.794153MeV,1.4 m
2582,85,117,201.988630236,-10.590867MeV,7.794542MeV,3.066666666667 m
2583,85,118,202.986941984,-12.163464MeV,7.803652MeV,7.333333333333 m
2584,85,119,203.987251326,-11.875313MeV,7.803552MeV,9.166666666667 m
2585,85,120,204.986074483,-12.971536MeV,7.810205MeV,26.9 m
2586,85,121,205.986667036,-12.419576MeV,7.808793MeV,30.66666666667 m
2587,85,122,206.985783502,-13.242582MeV,7.814037MeV,1.805555555556 h
2588,85,123,207.986589977,-12.491356MeV,7.811663MeV,1.630555555556 h
2589,85,124,208.986173143,-12.879634MeV,7.814763MeV,5.416666666667 h
2590,85,125,209.98714771,-11.97183MeV,7.811662MeV,8.055555555556 h
2591,85,126,210.987496271,-11.647148MeV,7.811354MeV,7.213888888889 h
2592,85,127,211.990744771,-8.62119MeV,7.798306MeV,314 ms
2593,85,128,212.992936646,-6.579472MeV,7.790003MeV,125 ns
2594,85,129,213.996371733,-3.379708MeV,7.776365MeV,558 ns
2595,85,130,214.99865257,-1.255123MeV,7.767855MeV,100 µs
2596,85,131,216.002423257,2.25725MeV,7.752999MeV,300 µs
2597,85,132,217.004718822,4.395555MeV,7.744612MeV,32.3 ms
2598,85,133,218.008694336,8.098722MeV,7.729124MeV,1.5 s
2599,85,134,219.011161691,10.397048MeV,7.720191MeV,56 s
2600,85,135,220.015407682,14.352164MeV,7.70381MeV,3.716666666667 m
2601,85,136,221.01805,16.813MeV,7.694MeV,2.333333333333 m
2602,85,137,222.02233,20.8MeV,7.678MeV,54 s
2603,85,138,223.02519,23.464MeV,7.668MeV,50.49432643111 s
2604,86,109,195.005437696,5.065181MeV,7.700307MeV,6 ms
2605,86,110,196.002115223,1.970318MeV,7.71799MeV,4.4 ms
2606,86,111,197.001584351,1.475814MeV,7.722294MeV,66 ms
2607,86,112,197.998678663,-1.230817MeV,7.737726MeV,65 ms
2608,86,113,198.998370297,-1.518058MeV,7.740846MeV,590 ms
2609,86,114,199.9956993,-4.006076MeV,7.754938MeV,1.03 s
2610,86,115,200.995628335,-4.072179MeV,7.756841MeV,7 s
2611,86,116,201.993263492,-6.275017MeV,7.769303MeV,9.8 s
2612,86,117,202.993386687,-6.160261MeV,7.770226MeV,43.5 s
2613,86,118,203.99142874,-7.984077MeV,7.780642MeV,1.17 m
2614,86,119,204.991718799,-7.713889MeV,7.780742MeV,2.833333333333 m
2615,86,120,205.990214104,-9.115503MeV,7.788956MeV,5.666666666667 m
2616,86,121,206.990734225,-8.631014MeV,7.78798MeV,9.25 m
2617,86,122,207.98964247,-9.647976MeV,7.794231MeV,24.35 m
2618,86,123,208.990414742,-8.92861MeV,7.792115MeV,28.5 m
2619,86,124,209.989696216,-9.597913MeV,7.796632MeV,2.452581569511 h
2620,86,125,210.990600523,-8.755556MeV,7.793941MeV,14.61111111111 h
2621,86,126,211.990703529,-8.659606MeV,7.794797MeV,23.9 m
2622,86,127,212.993882668,-5.698258MeV,7.782192MeV,19.5 ms
2623,86,128,213.995362554,-4.319753MeV,7.777102MeV,270 ns
2624,86,129,214.998745483,-1.168574MeV,7.763814MeV,2.3 µs
2625,86,130,216.00027437,0.255574MeV,7.758644MeV,45 µs
2626,86,131,217.003927675,3.658607MeV,7.744403MeV,540 µs
2627,86,132,218.005601256,5.217537MeV,7.738751MeV,35 ms
2628,86,133,219.009480204,8.830754MeV,7.723771MeV,3.96 s
2629,86,134,220.011393981,10.613426MeV,7.717248MeV,55.6 s
2630,86,135,221.015536782,14.47242MeV,7.701388MeV,25 m
2631,86,136,222.017577738,16.373558MeV,7.694491MeV,3.82349537037 d
2632,86,137,223.02179,20.297MeV,7.679MeV,24.33333333333 m
2633,86,138,224.02409,22.44MeV,7.671MeV,1.783333333333 h
2634,86,139,225.02844,26.492MeV,7.655MeV,4.666666666667 m
2635,86,140,226.03089,28.774MeV,7.646MeV,7.333333333333 m
2636,86,141,227.035407,32.981MeV,7.63MeV,20.8 s
2637,86,142,228.037986,35.384MeV,7.621MeV,1.083333333333 m
2638,87,112,199.007258147,6.760921MeV,7.695312MeV,12 ms
2639,87,113,200.00657249,6.122235MeV,7.700385MeV,49 ms
2640,87,114,201.003860867,3.596375MeV,7.714797MeV,61 ms
2641,87,115,202.003372847,3.141787MeV,7.718812MeV,300 ms
2642,87,116,203.000924647,0.861303MeV,7.731783MeV,550 ms
2643,87,117,204.000653204,0.608456MeV,7.734687MeV,1.7 s
2644,87,118,204.99859396,-1.309717MeV,7.745686MeV,3.8 s
2645,87,119,205.998666066,-1.242551MeV,7.74694MeV,16 s
2646,87,120,206.996949414,-2.841602MeV,7.756232MeV,14.8 s
2647,87,121,207.997138783,-2.665206MeV,7.756899MeV,59.1 s
2648,87,122,208.995953555,-3.769239MeV,7.763686MeV,50.49432643111 s
2649,87,123,209.996407738,-3.34617MeV,7.763136MeV,3.183333333333 m
2650,87,124,210.995536544,-4.157682MeV,7.768443MeV,3.1 m
2651,87,125,211.996202244,-3.537587MeV,7.766946MeV,20 m
2652,87,126,212.996189081,-3.549848MeV,7.768433MeV,34.82 s
2653,87,127,213.998971145,-0.958372MeV,7.757739MeV,5.049432643111 ms
2654,87,128,215.000341497,0.318103MeV,7.75326MeV,86.56170245337 ns
2655,87,129,216.00319799,2.978909MeV,7.742414MeV,700 ns
2656,87,130,217.004631951,4.314635MeV,7.737774MeV,19 µs
2657,87,131,218.007578322,7.059162MeV,7.726715MeV,1 ms
2658,87,132,219.009252149,8.618322MeV,7.721169MeV,20 ms
2659,87,133,220.012327405,11.482904MeV,7.70974MeV,27.4 s
2660,87,134,221.014254762,13.278226MeV,7.703252MeV,4.833333333333 m
2661,87,135,222.01755173,16.349332MeV,7.691076MeV,14.2 m
2662,87,136,223.019735857,18.383833MeV,7.683658MeV,21.66666666667 m
2663,87,137,224.023249951,21.65719MeV,7.670775MeV,3.333333333333 m
2664,87,138,225.025565414,23.814031MeV,7.66297MeV,3.95 m
2665,87,139,226.029386231,27.373099MeV,7.649028MeV,49 s
2666,87,140,227.031835938,29.654986MeV,7.640836MeV,2.466666666667 m
2667,87,141,228.035729,33.282MeV,7.627MeV,38 s
2668,87,142,229.038450228,35.816157MeV,7.617691MeV,50.2 s
2669,87,143,230.04251,39.598MeV,7.603MeV,19.1 s
2670,87,144,231.04544,42.328MeV,7.593MeV,17.6 s
2671,87,145,232.049772,46.363MeV,7.578MeV,5.5 s
2672,88,114,202.009890686,9.213115MeV,7.684883MeV,16 ms
2673,88,115,203.009271619,8.636458MeV,7.689628MeV,31 ms
2674,88,116,204.006499668,6.054402MeV,7.704156MeV,60 ms
2675,88,117,205.00626857,5.839136MeV,7.706997MeV,210 ms
2676,88,118,206.00382727,3.565079MeV,7.719805MeV,240 ms
2677,88,119,207.003798105,3.537912MeV,7.721634MeV,1.3 s
2678,88,120,208.00183994,1.713894MeV,7.732084MeV,1.3 s
2679,88,121,209.001991373,1.854952MeV,7.733033MeV,4.616624130845 s
2680,88,122,210.000494978,0.461069MeV,7.741281MeV,3.7 s
2681,88,123,211.000897987,0.83647MeV,7.741066MeV,13 s
2682,88,124,211.999794499,-0.191422MeV,7.747472MeV,13 s
2683,88,125,213.000383959,0.357656MeV,7.746415MeV,2.733333333333 m
2684,88,126,214.000107894,0.100503MeV,7.749135MeV,2.46 s
2685,88,127,215.002719834,2.533509MeV,7.739317MeV,1.55 ms
2686,88,128,216.003533035,3.291002MeV,7.737347MeV,182 ns
2687,88,129,217.006320327,5.887347MeV,7.726921MeV,1.6 µs
2688,88,130,218.00714023,6.651082MeV,7.724998MeV,25.2 µs
2689,88,131,219.010085078,9.39419MeV,7.714054MeV,10.09886528622 ms
2690,88,132,220.011028384,10.272874MeV,7.711684MeV,17.9 ms
2691,88,133,221.013917338,12.963917MeV,7.701134MeV,28 s
2692,88,134,222.01537453,14.321283MeV,7.696687MeV,38 s
2693,88,135,223.018502171,17.234662MeV,7.685303MeV,11.43055555556 d
2694,88,136,224.020211821,18.82719MeV,7.679917MeV,3.6319 d
2695,88,137,225.023611564,21.994031MeV,7.667581MeV,14.93055555556 d
2696,88,138,226.025409823,23.669099MeV,7.661956MeV,1585.489599188 y
2697,88,139,227.029177842,27.178986MeV,7.648297MeV,42.16666666667 m
2698,88,140,228.031070292,28.941792MeV,7.642421MeV,5.739472349061 y
2699,88,141,229.034957577,32.562774MeV,7.628482MeV,4 m
2700,88,142,230.037056394,34.517809MeV,7.621907MeV,1.555555555556 h
2701,88,143,231.04122,38.396MeV,7.607MeV,1.716666666667 m
2702,88,144,232.043638,40.649MeV,7.599MeV,4.166666666667 m
2703,88,145,233.04806,44.767MeV,7.584MeV,30 s
2704,88,146,234.050704,47.23MeV,7.575MeV,30 s
2705,89,117,206.01450498,13.511303MeV,7.667724MeV,22 ms
2706,89,118,207.011949748,11.131119MeV,7.681172MeV,27 ms
2707,89,119,208.011551551,10.760201MeV,7.684831MeV,95 ms
2708,89,120,209.009494863,8.844409MeV,7.695847MeV,100 ms
2709,89,121,210.009435986,8.789565MeV,7.697896MeV,350 ms
2710,89,122,211.007734835,7.204953MeV,7.707176MeV,210 ms
2711,89,123,212.007813822,7.278529MeV,7.708546MeV,930 ms
2712,89,124,213.006607643,6.15498MeV,7.715524MeV,738 ms
2713,89,125,214.006901798,6.428984MeV,7.715907MeV,8.2 s
2714,89,126,215.006453625,6.011514MeV,7.719501MeV,170 ms
2715,89,127,216.008720075,8.122698MeV,7.711356MeV,440 µs
2716,89,128,217.009346914,8.706595MeV,7.710324MeV,69 ns
2717,89,129,218.011641453,10.843944MeV,7.702176MeV,1.08 µs
2718,89,130,219.012420389,11.569518MeV,7.700548MeV,11.8 µs
2719,89,131,220.014762979,13.751627MeV,7.692315MeV,26.36 ms
2720,89,132,221.015591248,14.523155MeV,7.690539MeV,52 ms
2721,89,133,222.017843851,16.621441MeV,7.682802MeV,5 s
2722,89,134,223.019137468,17.826437MeV,7.679141MeV,2.1 m
2723,89,135,224.021722866,20.23472MeV,7.67014MeV,2.777777777778 h
2724,89,136,225.023229585,21.63822MeV,7.665686MeV,9.953703703704 d
2725,89,137,226.026098089,24.310214MeV,7.655658MeV,1.22337962963 d
2726,89,138,227.027752127,25.850941MeV,7.650701MeV,21.772 y
2727,89,139,228.031021112,28.895981MeV,7.639191MeV,6.138888888889 h
2728,89,140,229.033015243,30.753502MeV,7.632966MeV,1.044444444444 h
2729,89,141,230.036294178,33.807809MeV,7.621593MeV,2.033333333333 m
2730,89,142,231.038558786,35.917278MeV,7.614407MeV,7.5 m
