,Protons,Neutrons,Atomic Weight,Mass Excess,Binding Energy,Half-life,Half-life Magnitude,Half-life Time
0,1,0,1.00782503207,7.2889705,0.0,2.486929000002984e+62,62.0,8.0
1,1,1,2.01410177785,13.13572158,1.112283,2.486929000002984e+62,62.0,8.0
2,1,2,3.01604927767,14.949806,2.827266,388572800.0,8.0,7.019867545317982
3,1,3,4.027806424,25.901518,1.400351,9.917391304348e-23,-23.0,9.917391304348e-17
4,1,4,5.035311488,32.89244,1.33636,8.003508771930002e-23,-23.0,8.003508771930002e-17
5,1,5,6.044942594,41.863757,0.963633,2.9e-22,-22.0,2.9000000000000003e-16
6,1,6,7.052749,49.135,0.9401,2.2999999999999998e-23,-23.0,2.2999999999999998e-17
7,2,0,,,,,,
8,2,1,3.01602931914,14.93121475,2.572681,2.486929000002984e+62,62.0,8.0
9,2,2,4.00260325415,2.42491565,7.073915,2.486929000002984e+62,62.0,8.0
10,2,3,5.012223624,11.386233,5.481132,7.603333333333001e-22,-22.0,7.603333333333002e-16
11,2,4,6.018889124,17.595106,4.878017,0.8067000000000001,-1.0,2.968904018980988
12,2,5,7.028020618,26.101038,4.11907,3.041333333333e-21,-21.0,3.041333333333e-15
13,2,6,8.033921897,31.598044,3.925975,0.11900000000000001,-1.0,2.6918489871308435
14,2,7,9.043950286,40.939429,3.348637,7e-21,-21.0,7.000000000000001e-15
15,2,8,10.052398837,48.809203,3.033927,1.5206666666669999e-21,-21.0,1.5206666666669999e-15
16,3,0,3.030775,28.667,2.2676,,,
17,3,1,4.027185558,25.323185,1.153761,7.565505804312001e-23,-23.0,7.565505804312002e-17
18,3,2,5.0125378,11.678886,5.266132,3.041333333333e-22,-22.0,3.041333333333e-16
19,3,3,6.015122794,14.086793,5.332345,2.486929000002984e+62,62.0,8.0
20,3,4,7.016004548,14.908141,5.606291,2.486929000002984e+62,62.0,8.0
21,3,5,8.022487362,20.946844,5.159582,0.8399,-1.0,2.974742527086706
22,3,6,9.026789505,24.954264,5.037839,0.17830000000000001,-1.0,2.7503837810584515
23,3,7,10.035481259,33.050581,4.531555,2.0000000000000002e-21,-21.0,2e-15
24,3,8,11.043797715,40.79731,4.149104,0.00859,-3.0,2.311331054610414
25,3,9,12.05378,50.096,3.701,1e-08,-8.0,0.01
26,4,1,5.04079,37.996,-0.1547,,,
27,4,2,6.019726317,18.374947,4.487262,5e-21,-21.0,5e-15
28,4,3,7.016929828,15.770034,5.3714,4597999.9999997765,6.0,6.673636978972146
29,4,4,8.005305103,4.941672,7.062435,8.190305206463e-17,-17.0,8.190305206463e-11
30,4,5,9.012182201,11.347648,6.462758,2.486929000002984e+62,62.0,8.0
31,4,6,10.013533818,12.60667,6.497711,47706050228324.04,13.0,7.1125705043361425
32,4,7,11.021657749,20.174064,5.952822,13.81,1.0,3.6412242368767167
33,4,8,12.026920737,25.076506,5.720826,0.021500000000000002,-2.0,2.444146153305202
34,4,9,13.035693007,33.247823,5.27307,2.7000000000000005e-21,-21.0,2.7000000000000005e-15
35,4,10,14.04289292,39.954498,4.993897,0.00435,-3.0,2.2128297523182123
36,4,11,15.05346,49.798,4.543,2.0000000000000002e-07,-7.0,0.20000000000000004
37,4,12,16.06192,57.678,4.271,2.0000000000000002e-07,-7.0,0.20000000000000004
38,5,1,6.04681,43.603,0.1521,,,
39,5,2,7.029917901,27.868346,3.531306,3.258571428571e-22,-22.0,3.2585714285710003e-16
40,5,3,8.024607233,22.92149,4.717164,0.77,-1.0,2.962163575057494
41,5,4,9.013328782,12.415681,6.25716,8.448148148148002e-19,-19.0,8.448148148148002e-13
42,5,5,10.012936992,12.050731,6.475071,2.486929000002984e+62,62.0,8.0
43,5,6,11.009305406,8.667931,6.927711,2.486929000002984e+62,62.0,8.0
44,5,7,12.014352104,13.368899,6.631264,0.0202,-2.0,2.4351171231488746
45,5,8,13.017780217,16.562166,6.496402,0.017329999999999998,-2.0,2.4129328542379724
46,5,9,14.025404009,23.663683,6.101645,0.0125,-2.0,2.3656366710026857
47,5,10,15.031103021,28.972278,5.87905,0.00993,-3.0,2.332316416165127
48,5,11,16.039808829,37.081686,5.509228,1.9000000000000002e-10,-10.0,0.00019000000000000004
49,5,12,17.046989906,43.770816,5.266461,0.00508,-3.0,2.2352879040946396
50,5,13,18.05617,52.322,4.947,2.6e-08,-8.0,0.026000000000000002
51,5,14,19.06373,59.364,4.741,0.00292,-3.0,2.1551276171494727
52,6,2,8.037675025,35.09406,3.0978,2.0000000000000002e-21,-21.0,2e-15
53,6,3,9.031036689,28.910491,4.337476,0.1265,-1.0,2.7006968418372788
54,6,4,10.016853228,15.698682,6.032041,19.29,1.0,3.7228475234413096
55,6,5,11.011433613,10.650342,6.67637,1220.04,3.0,4.735720776811741
56,6,6,12.0,0.0,7.680144,2.486929000002984e+62,62.0,8.0
57,6,7,13.00335483778,3.12501129,7.469849,2.486929000002984e+62,62.0,8.0
58,6,8,14.0032419887,3.01989305,7.520319,180022831050.2401,11.0,7.06842870795497
59,6,9,15.010599256,9.873144,7.100169,2.449,0.0,3.2187602348454822
60,6,10,16.014701252,13.694129,6.922054,0.747,-1.0,2.9577735339384663
61,6,11,17.022586116,21.038832,6.557616,0.193,-1.0,2.7618524363359245
62,6,12,18.026759354,24.926178,6.425747,0.091,-2.0,2.6530137974403645
63,6,13,19.034805018,32.420666,6.117909,0.049,-2.0,2.5633986933428377
64,6,14,20.040319754,37.55761,5.958733,0.014,-2.0,2.3820426785594124
65,6,15,21.04934,45.96,5.659,2.9999999999980006e-08,-8.0,0.029999999999980008
66,6,16,22.0572,53.281,5.436,0.006200000000000001,-3.0,2.2641305631660846
67,7,3,10.041653674,38.800148,3.64366,2e-22,-22.0,2.0000000000000002e-16
68,7,4,11.026090956,24.303569,5.364045,5.9e-22,-22.0,5.9e-16
69,7,5,12.018613197,17.338082,6.170108,0.011,-2.0,2.3471308950527416
70,7,6,13.005738609,5.345481,7.238863,597.9,2.0,4.561525518608769
71,7,7,14.00307400478,2.86341704,7.475614,2.486929000002984e+62,62.0,8.0
72,7,8,15.00010889823,0.10143805,7.699459,2.486929000002984e+62,62.0,8.0
73,7,9,16.006101658,5.683658,7.373812,7.13,0.0,3.4797620729214165
74,7,10,17.008450261,7.871368,7.286153,4.173,0.0,3.3489289139930274
75,7,11,18.014078959,13.114466,7.03849,0.624,-1.0,2.931728196560808
76,7,12,19.017028697,15.862129,6.948235,0.271,-1.0,2.810989763624802
77,7,13,20.023365807,21.76511,6.70924,0.13,-1.0,2.704647784102279
78,7,14,21.02710824,25.251164,6.608099,0.085,-2.0,2.643139641904764
79,7,15,22.034394934,32.038675,6.366085,0.024,-2.0,2.4600704139038685
80,7,16,23.04122,38.396,6.164,0.0145,-2.0,2.387122667411658
81,7,17,24.05104,47.543,5.862,5.200000000001e-08,-8.0,0.052000000000010003
82,7,18,25.06066,56.504,5.592,2.6e-07,-7.0,0.26
83,8,4,12.034404895,32.047954,4.87909,1.1405000000000001e-21,-21.0,1.1405000000000003e-15
84,8,5,13.024812213,23.112428,5.811994,0.00859,-3.0,2.311331054610414
85,8,6,14.00859625,8.007356,7.052308,70.60600000002,1.0,4.039754974704337
86,8,7,15.003065617,2.855605,7.463692,122.23999999998001,2.0,4.173810912193897
87,8,8,15.99491461956,-4.73700141,7.976206,2.486929000002984e+62,62.0,8.0
88,8,9,16.999131703,-0.808813,7.750731,2.486929000002984e+62,62.0,8.0
89,8,10,17.999161001,-0.781522,7.767025,2.486929000002984e+62,62.0,8.0
90,8,11,19.00358013,3.33487,7.566389,26.88,1.0,3.8038850823704577
91,8,12,20.004076742,3.797462,7.568505,13.51,1.0,3.6358600533998935
92,8,13,21.008655886,8.062906,7.389332,3.42,0.0,3.3003265925443164
93,8,14,22.009966947,9.284152,7.364821,2.25,0.0,3.198061058099179
94,8,15,23.015687659,14.61296,7.16385,0.082,-2.0,2.6379379507945724
95,8,16,24.020472917,19.0704,7.015935,0.065,-2.0,2.604304452214285
96,8,17,25.02946,27.442,6.723,4.999999999997e-08,-8.0,0.049999999999970006
97,8,18,26.03834,35.713,6.457,3.999999999998e-08,-8.0,0.03999999999998
98,8,19,27.04826,44.954,6.175,2.6e-07,-7.0,0.26
99,8,20,28.05781,53.85,5.925,1.0000000000000001e-07,-7.0,0.10000000000000002
100,9,5,14.03506,32.658,5.236,,,
101,9,6,15.018009103,16.775372,6.483551,4.562e-22,-22.0,4.562e-16
102,9,7,16.011465724,10.680254,6.963731,1.1405e-20,-20.0,1.1405000000000001e-14
103,9,8,17.002095237,1.951701,7.542328,64.48999999998,1.0,4.017625680912578
104,9,9,18.000937956,0.873701,7.631605,6586.2600000012,3.0,5.190069724315167
105,9,10,18.998403224,-1.487386,7.779015,2.486929000002984e+62,62.0,8.0
106,9,11,19.999981315,-0.017404,7.720131,11.07,1.0,3.587209676709697
107,9,12,20.999948951,-0.047551,7.73829,4.158,0.0,3.348049405168387
108,9,13,22.002998815,2.793378,7.624294,4.23,0.0,3.3522424581372965
109,9,14,23.003574631,3.329747,7.62041,2.23,0.0,3.195880335248766
110,9,15,24.008115485,7.559527,7.462957,0.39,-1.0,2.8636882023421664
111,9,16,25.012101747,11.272706,7.338764,0.05,-2.0,2.566323334778673
112,9,17,26.019615555,18.271772,7.097744,0.0096,-3.0,2.3274237443465227
113,9,18,27.026760086,24.92686,6.887318,0.005,-3.0,2.2329900014453394
114,9,19,28.03567,33.226,6.633,3.999999999998e-08,-8.0,0.03999999999998
115,9,20,29.04326,40.296,6.439,0.0025,-3.0,2.132646669557346
116,9,21,30.0525,48.903,6.206,2.6e-07,-7.0,0.26
117,9,22,31.060429,56.289,6.028,2.5000000000000004e-07,-7.0,0.25000000000000006
118,10,6,16.025761262,23.996462,6.082572,3.7393442622949995e-21,-21.0,3.739344262295e-15
119,10,7,17.017671504,16.460901,6.642825,0.1092,-1.0,2.6794075461229063
120,10,8,18.005708213,5.317166,7.341282,1.672,0.0,3.125544029539013
121,10,9,19.001880248,1.75144,7.567375,17.22,1.0,3.6951226150480485
122,10,10,19.99244017542,-7.04193131,8.03224,2.486929000002984e+62,62.0,8.0
123,10,11,20.993846684,-5.731776,7.971713,2.486929000002984e+62,62.0,8.0
124,10,12,21.991385113,-8.024715,8.080465,2.486929000002984e+62,62.0,8.0
125,10,13,22.994466904,-5.154045,7.955255,37.24,1.0,3.88350733491898
126,10,14,23.993610779,-5.951521,7.993319,202.99999999998,2.0,4.297693903943952
127,10,15,24.997736888,-2.108075,7.842701,0.602,-1.0,2.9265321637526083
128,10,16,26.000461206,0.429611,7.753891,0.192,-1.0,2.7611004095678497
129,10,17,27.007589903,7.069949,7.519709,0.032,-2.0,2.5017166594399685
130,10,18,28.012071575,11.244601,7.390315,0.0189,-2.0,2.425487268057748
131,10,19,29.019385933,18.057881,7.178857,0.0148,-2.0,2.390087238464986
132,10,20,30.024801045,23.102025,7.040467,0.0073,-3.0,2.2877742867068185
133,10,21,31.03311,30.842,6.824,0.0034,-3.0,2.177159639014085
134,10,22,32.04002,37.278,6.662,0.0035,-3.0,2.1813560147834252
135,10,23,33.04938,45.997,6.44,1.8000000000000002e-07,-7.0,0.18000000000000002
136,10,24,34.057028,53.121,6.279,6.000000000002e-08,-8.0,0.06000000000002001
137,11,7,18.025969,24.189968,6.249329,1.3000000000000003e-21,-21.0,1.3000000000000004e-15
138,11,8,19.013877499,12.926808,6.938021,3.999999999998e-08,-8.0,0.03999999999998
139,11,9,20.007351328,6.847719,7.298641,0.44789999999999996,-1.0,2.883727020814896
140,11,10,20.997655206,-2.184161,7.765524,22.49,1.0,3.7603343389061727
141,11,11,21.994436425,-5.182436,7.915709,82089158.0,7.0,7.007568360348958
142,11,12,22.98976928087,-9.52985358,8.111493,2.486929000002984e+62,62.0,8.0
143,11,13,23.990962782,-8.418114,8.063496,53989.2,4.0,5.85204666933004
144,11,14,24.989953968,-9.357818,8.101397,59.1,1.0,3.996308655126513
145,11,15,25.992633,-6.862316,8.00426,1.077,0.0,3.018117527005102
146,11,16,26.994076788,-5.517436,7.956933,0.301,-1.0,2.8261888318646142
147,11,17,27.998938,-0.989247,7.799297,0.0305,-2.0,2.4947666131155954
148,11,18,29.002861,2.665004,7.682668,0.0449,-2.0,2.550748780334441
149,11,19,30.008976,8.36109,7.505754,0.0484,-2.0,2.5616151205481374
150,11,20,31.013585452,12.654768,7.385492,0.017,-2.0,2.4101496404594247
151,11,21,32.02046656,19.064478,7.206621,0.0132,-2.0,2.3735246437352835
152,11,22,33.026719756,24.889293,7.056314,0.008,-3.0,2.3010299956639813
153,11,23,34.03517,32.761,6.855,0.0055,-3.0,2.246787563164748
154,11,24,35.042493,39.582,6.695,0.0015,-3.0,2.0586970863518936
155,11,25,36.05148,47.953,6.5,1.8000000000000002e-07,-7.0,0.18000000000000002
156,11,26,37.05934,55.275,6.345,6.000000000002e-08,-8.0,0.06000000000002001
157,12,7,19.03547,33.040092,5.838251,,,
158,12,8,20.018862545,17.570348,6.723392,0.09,-2.0,2.6514141698131084
159,12,9,21.01171291,10.910506,7.104714,0.122,-1.0,2.6954532768915827
160,12,10,21.999573843,-0.396963,7.662626,3.8755,0.0,3.330864846900969
161,12,11,22.994123669,-5.473766,7.901126,11.317,1.0,3.592599372893763
162,12,12,23.985041699,-13.933567,8.260709,2.486929000002984e+62,62.0,8.0
163,12,13,24.985836917,-13.192826,8.223504,2.486929000002984e+62,62.0,8.0
164,12,14,25.982592929,-16.214582,8.333872,2.486929000002984e+62,62.0,8.0
165,12,15,26.984340585,-14.586651,8.263854,567.49999999998,2.0,4.548780434325238
166,12,16,27.983876825,-15.018641,8.272406,75294.0,4.0,5.956707081503802
167,12,17,28.9886,-10.619032,8.113761,1.3,0.0,3.0640796739210194
168,12,18,29.990434,-8.910672,8.055401,0.335,-1.0,2.841681602345615
169,12,19,30.996546,-3.21738,7.87226,0.232,-1.0,2.7884959949636334
170,12,20,31.998975,-0.954781,7.807774,0.085,-2.0,2.643139641904764
171,12,21,33.005254,4.89407,7.638522,0.0905,-2.0,2.652216193068401
172,12,22,34.009456424,8.808603,7.536118,0.020197730572449998,-2.0,2.4351008582110656
173,12,23,35.01734,16.152,7.342,0.07069205700356,-2.0,2.61645687299446
174,12,24,36.023,21.424,7.215,0.0039,-3.0,2.1970215356755
175,12,25,37.0314,29.249,7.027,2.6e-07,-7.0,0.26
176,12,26,38.03757,34.996,6.903,2.6e-07,-7.0,0.26
177,12,27,39.046772,43.568,6.713,1.8000000000000002e-07,-7.0,0.18000000000000002
178,12,28,40.05393,50.235,6.581,1.7000000000000001e-07,-7.0,0.17
179,13,8,21.02804,26.119,6.343,3.500000000001e-08,-8.0,0.03500000000001
180,13,9,22.01952,18.183,6.783,0.059000000000000004,-2.0,2.590284003880715
181,13,10,23.007267432,6.76957,7.334792,0.47000000000000003,-1.0,2.8906992859785725
182,13,11,23.999938865,-0.056946,7.649919,2.053,0.0,3.175681877063716
183,13,12,24.990428095,-8.916172,8.021144,7.183,0.0,3.4815708822568086
184,13,13,25.986891692,-12.210309,8.149771,22602866565195.973,13.0,7.106661059626138
185,13,14,26.981538627,-17.196658,8.331545,2.486929000002984e+62,62.0,8.0
186,13,15,27.981910306,-16.850441,8.309886,134.47999999997998,2.0,4.197118467831172
187,13,16,28.980445046,-18.215322,8.348725,394.00000000002,2.0,4.459659981829784
188,13,17,29.982960256,-15.872419,8.261381,3.6,0.0,3.312854432741457
189,13,18,30.983946619,-14.953628,8.225611,0.644,-1.0,2.936295289119937
190,13,19,31.988124489,-11.061966,8.099175,0.033,-2.0,2.5061713132926293
191,13,20,32.990843336,-8.529377,8.021586,0.0417,-2.0,2.5400453516579193
192,13,21,33.996851837,-2.932495,7.858434,0.042,-2.0,2.5410830967993
193,13,22,34.999860235,-0.13019,7.784451,0.0386,-2.0,2.528862434890585
194,13,23,36.006207204,5.781974,7.628193,0.09,-2.0,2.6514141698131084
195,13,24,37.01067782,9.946326,7.527619,0.0107,-2.0,2.34312792589507
196,13,25,38.017231021,16.050594,7.381288,0.0076,-3.0,2.293604530760264
197,13,26,39.02297,21.396417,7.261909,7.599999999999999e-06,-6.0,1.2936045307602637
198,13,27,40.03145,29.295,7.085,2.6e-07,-7.0,0.26
199,13,28,41.03833,35.704,6.952,2.6e-07,-7.0,0.26
200,13,29,42.04689,43.678,6.789,1.7000000000000001e-07,-7.0,0.17
201,14,8,22.03453,32.164,6.111,0.029,-2.0,2.487465999299652
202,14,9,23.02552,23.772,6.562,0.0423,-2.0,2.542113455791681
203,14,10,24.011545616,10.754673,7.166837,0.14,-1.0,2.715376011892746
204,14,11,25.004105574,3.824318,7.48023,0.22,-1.0,2.7808075602740687
205,14,12,25.992329921,-7.144632,7.924847,2.234,0.0,3.1963180402703504
206,14,13,26.986704905,-12.384301,8.124334,4.16,0.0,3.348166856162079
207,14,14,27.97692653246,-21.49279678,8.447744,2.486929000002984e+62,62.0,8.0
208,14,15,28.9764947,-21.895046,8.448634,2.486929000002984e+62,62.0,8.0
209,14,16,29.973770171,-24.432928,8.520653,2.486929000002984e+62,62.0,8.0
210,14,17,30.975363227,-22.949006,8.45829,9438.0000000012,3.0,5.303270586117397
211,14,18,31.974148082,-24.080907,8.481569,4825620000.0,9.0,7.039797296986266
212,14,19,32.97800022,-20.492662,8.360402,6.11,0.0,3.442055314514422
213,14,20,33.978575524,-19.95677,8.336138,2.77,0.0,3.248842593659556
214,14,21,34.984583575,-14.360307,8.168673,0.78,-1.0,2.96403153423016
215,14,22,35.986599477,-12.482507,8.113807,0.45,-1.0,2.884404171258448
216,14,23,36.99293608,-6.579998,7.953132,0.09,-2.0,2.6514141698131084
217,14,24,37.995633601,-4.067274,7.890118,1e-06,-6.0,1.0
218,14,25,39.002070013,1.928205,7.741034,0.0475,-2.0,2.5588978698749556
219,14,26,40.005869121,5.467052,7.660819,0.033,-2.0,2.5061713132926293
220,14,27,41.01456,13.562553,7.47338,0.02,-2.0,2.433676665221327
221,14,28,42.01979,18.434,7.372,0.0125,-2.0,2.3656366710026857
222,14,29,43.02866,26.697,7.196,6.000000000002e-08,-8.0,0.06000000000002001
223,14,30,44.03526,32.844,7.076,3.606737602222e-07,-7.0,0.3606737602222
224,15,9,24.03435,31.997,6.249,,,
225,15,10,25.02026,18.872,6.847,2.9999999999980006e-08,-8.0,0.029999999999980008
226,15,11,26.01178,10.973,7.198,0.0437,-2.0,2.5468271456568075
227,15,12,26.999230236,-0.71703,7.663237,0.26,-1.0,2.8049911159902727
228,15,13,27.992314761,-7.158753,7.907873,0.27030000000000004,-1.0,2.810615348566242
229,15,14,28.981800606,-16.952626,8.251228,4.142,0.0,3.3471077583666
230,15,15,29.978313789,-20.200575,8.353496,149.89999999998,2.0,4.223631360031259
231,15,16,30.973761629,-24.440885,8.481178,2.486929000002984e+62,62.0,8.0
232,15,17,31.973907274,-24.305218,8.46413,1232236.8,6.0,6.450448287204926
233,15,18,32.971725543,-26.337486,8.513811,2189000.00000016,6.0,6.547842145041775
234,15,19,33.973636257,-24.557669,8.448449,12.43,1.0,3.615510704393402
235,15,20,34.973314117,-24.85774,8.446247,47.3,1.0,3.9419115164564618
236,15,21,35.97825968,-20.250977,8.307866,5.6,0.0,3.4207673710798088
237,15,22,36.979608946,-18.994145,8.267505,2.31,0.0,3.204488780025711
238,15,23,37.984156827,-14.75782,8.15086,0.64,-1.0,2.9353933246612955
239,15,24,38.986179475,-12.873735,8.10051,0.28,-1.0,2.81571934378074
240,15,25,39.991296951,-8.106838,7.980608,0.125,-1.0,2.6989700043360187
241,15,26,40.994335435,-5.276508,7.913788,0.1,-1.0,2.6666666666666665
242,15,27,42.001007913,0.938865,7.769554,0.0485,-2.0,2.5619139128674213
243,15,28,43.00619,5.765948,7.664314,0.0365,-2.0,2.5207642881521584
244,15,29,44.01299,12.1,7.53,0.0185,-2.0,2.422390576134338
245,15,30,45.01922,17.903,7.413,2.0000000000000002e-07,-7.0,0.20000000000000004
246,15,31,46.02738,25.504,7.262,2.0000000000000002e-07,-7.0,0.20000000000000004
247,16,10,26.02788,25.97,6.591,0.01,-2.0,2.3333333333333335
248,16,11,27.018833,17.543,6.958,0.0155,-2.0,2.3967772327234305
249,16,12,28.004372763,4.073203,7.47879,0.125,-1.0,2.6989700043360187
250,16,13,28.996608049,-3.159582,7.748629,0.187,-1.0,2.7572805355121663
251,16,14,29.984903249,-14.062532,8.122817,1.178,0.0,3.0400108204719554
252,16,15,30.979554728,-19.044648,8.281869,2.572,0.0,3.2307289462376536
253,16,16,31.972070999,-26.015697,8.493134,2.486929000002984e+62,62.0,8.0
254,16,17,32.971458759,-26.585994,8.497634,2.486929000002984e+62,62.0,8.0
255,16,18,33.967866902,-29.931788,8.583501,2.486929000002984e+62,62.0,8.0
256,16,19,34.969032161,-28.846356,8.537855,7560999.999999648,6.0,6.757940484681975
257,16,20,35.96708076,-30.664075,8.575387,2.486929000002984e+62,62.0,8.0
258,16,21,36.971125567,-26.89636,8.459934,303.0,2.0,4.395518310361351
259,16,22,37.971163317,-26.861197,8.448782,10220.0000000004,4.0,5.3283181453220685
260,16,23,38.975134306,-23.162245,8.344258,11.5,1.0,3.596517219851102
261,16,24,39.975451728,-22.866568,8.330043,8.8,0.0,3.5311599178902204
262,16,25,40.979582149,-19.019105,8.229892,1.99,0.0,3.1680695477087384
263,16,26,41.981022419,-17.677503,8.194173,1.013,0.0,3.003154650291459
264,16,27,42.98715479,-11.965235,8.058473,0.28,-1.0,2.81571934378074
265,16,28,43.99021339,-9.116168,7.994013,0.1,-1.0,2.6666666666666665
266,16,29,44.996508112,-3.252672,7.865431,0.068,-2.0,2.610836304235412
267,16,30,46.00075,0.699,7.784,0.05,-2.0,2.566323334778673
268,16,31,47.00859,8.002,7.635,0.020197730572449998,-2.0,2.4351008582110656
269,16,32,48.01417,13.199,7.536,2.0000000000000002e-07,-7.0,0.20000000000000004
270,16,33,49.023619,22.001,7.367,2.0000000000000002e-07,-7.0,0.20000000000000004
271,17,11,28.02851,26.557,6.648,,,
272,17,12,29.01411,13.143,7.159,2e-08,-8.0,0.02
273,17,13,30.00477,4.443,7.48,2.9999999999980006e-08,-8.0,0.029999999999980008
274,17,14,30.992413086,-7.067165,7.870261,0.15,-1.0,2.7253637530185606
275,17,15,31.985689901,-13.329771,8.072251,0.298,-1.0,2.8247387546920852
276,17,16,32.977451887,-21.003432,8.304758,2.511,0.0,3.224866536312169
277,17,17,33.973762819,-24.439776,8.398961,1.5264,0.0,3.103291751655205
278,17,18,34.968852682,-29.01354,8.520278,2.486929000002984e+62,62.0,8.0
279,17,19,35.968306981,-29.521857,8.521927,9501204972096.533,12.0,7.09980484132991
280,17,20,36.965902591,-31.761532,8.57028,2.486929000002984e+62,62.0,8.0
281,17,21,37.968010425,-29.798097,8.50548,2233.9999999998,3.0,4.8834636075288715
282,17,22,38.968008164,-29.800203,8.494402,3372.0,3.0,4.984019956227879
283,17,23,39.970415472,-27.55781,8.427765,81.0,1.0,4.073297346593484
284,17,24,40.970684525,-27.307189,8.412958,38.4,1.0,3.890999134086993
285,17,25,41.973254804,-24.91299,8.347819,6.8,0.0,3.4681879072585184
286,17,26,42.974054403,-24.168168,8.324068,3.13,0.0,3.2786851441571874
287,17,27,43.978281071,-20.231052,8.228843,0.56,-1.0,2.9160626756687336
288,17,28,44.980286886,-18.362647,8.183823,0.41300000000000003,-1.0,2.8719833505521337
289,17,29,45.98421004,-14.708253,8.101934,0.232,-1.0,2.7884959949636334
290,17,30,46.98871,-10.517,8.012,0.101,-1.0,2.668107124594214
291,17,31,47.99495,-4.704,7.892,2.0000000000000002e-07,-7.0,0.20000000000000004
292,17,32,49.00032,0.298,7.794,1.7000000000000001e-07,-7.0,0.17
293,17,33,50.00784,7.303,7.659,0.020197730572449998,-2.0,2.4351008582110656
294,17,34,51.01449,13.497,7.546,2.0000000000000002e-07,-7.0,0.20000000000000004
295,18,12,30.02156,20.083,6.932,2e-08,-8.0,0.02
296,18,13,31.012123,11.293,7.253,0.014400000000000001,-2.0,2.3861208306984167
297,18,14,31.997637984,-2.200204,7.700003,0.09810326278044999,-2.0,2.6638944838870335
298,18,15,32.989925709,-9.384141,7.92895,0.17300000000000001,-1.0,2.7460153677095986
299,18,16,33.980271244,-18.377217,8.19764,0.845,-1.0,2.9756189029832307
300,18,17,34.975257585,-23.047411,8.327465,1.775,0.0,3.1401446346801754
301,18,18,35.967545105,-30.23154,8.519909,2.486929000002984e+62,62.0,8.0
302,18,19,36.96677632,-30.947659,8.527139,3019680.0000000005,6.0,6.602369542331417
303,18,20,37.962732394,-34.714551,8.614273,2.486929000002984e+62,62.0,8.0
304,18,21,38.964313231,-33.242011,8.562593,8491076864.536987,9.0,7.0442676741059564
305,18,22,39.96238312251,-35.03989602,8.595259,2.486929000002984e+62,62.0,8.0
306,18,23,40.964500611,-33.067467,8.534371,6576.5999999988,3.0,5.189607879907866
307,18,24,41.963045736,-34.422675,8.555613,1040131912.7348047,9.0,7.027656989916803
308,18,25,42.965636056,-32.009808,8.488237,322.00000000002,2.0,4.410372639084992
309,18,26,43.964924033,-32.673053,8.493836,712.1999999999999,2.0,4.604251589240665
310,18,27,44.968039956,-29.770589,8.419947,21.48,1.0,3.7491119086411384
311,18,28,45.968094129,-29.720127,8.411271,8.4,0.0,3.519797900129398
312,18,29,46.972186792,-25.907836,8.322926,1.23,0.0,3.0505610034129553
313,18,30,47.97454,-23.716,8.272,0.47500000000000003,-1.0,2.8922312032082886
314,18,31,48.98052,-18.146,8.154,0.17,-1.0,2.743482973792758
315,18,32,49.98443,-14.503,8.08,1.7000000000000001e-07,-7.0,0.17
316,18,33,50.99163,-7.797,7.948,2.0000000000000002e-07,-7.0,0.20000000000000004
317,18,34,51.99678,-2.999,7.858,0.01,-2.0,2.3333333333333335
318,18,35,53.00494,4.602,7.719,0.003,-3.0,2.1590404182398877
319,19,13,32.02192,20.418,6.969,,,
320,19,14,33.00726,6.763,7.416,2.5000000000000002e-08,-8.0,0.025000000000000005
321,19,15,33.99841,-1.481,7.678,2.5000000000000002e-08,-8.0,0.025000000000000005
322,19,16,34.988009692,-11.1689,7.965726,0.178,-1.0,2.7501400007696315
323,19,17,35.981292235,-17.426171,8.142472,0.342,-1.0,2.8446753686853783
324,19,18,36.973375889,-24.800199,8.339847,1.226,0.0,3.049765434837618
325,19,19,37.969081184,-28.800691,8.438057,458.20000000002,2.0,4.496529096880405
326,19,20,38.963706679,-33.807011,8.55702,2.486929000002984e+62,62.0,8.0
327,19,21,39.963998475,-33.535205,8.538083,3.936192e+16,16.0,7.165697458852758
328,19,22,40.961825762,-35.559074,8.576061,2.486929000002984e+62,62.0,8.0
329,19,23,41.96240281,-35.021556,8.551245,44355.6,4.0,5.790202198484343
330,19,24,42.96071554,-36.593239,8.576635,80300.000000016,4.0,5.97696135472662
331,19,25,43.961556804,-35.809606,8.54734,1327.9999999998,3.0,4.756429929320181
332,19,26,44.960699493,-36.608186,8.554508,1068.6,3.0,4.703350695950869
333,19,27,45.961976864,-35.418323,8.518137,105.0,2.0,4.136680188838749
334,19,28,46.961678473,-35.696272,8.514544,17.5,1.0,3.6990620445915967
335,19,29,47.965513535,-32.123935,8.430887,6.8,0.0,3.4681879072585184
336,19,30,48.967450928,-30.319265,8.386719,1.26,0.0,3.05644657342614
337,19,31,49.972783355,-25.352141,8.281068,0.47200000000000003,-1.0,2.891313999544696
338,19,32,50.97638,-22.002,8.211,0.365,-1.0,2.8540976214854914
339,19,33,51.98261,-16.199,8.097,0.105,-1.0,2.673729766356646
340,19,34,52.98712,-11.998,8.017,0.03,-2.0,2.4923737515732207
341,19,35,53.9942,-5.403,7.896,0.01,-2.0,2.3333333333333335
