Z,Nuclide,mass,spin & parity,abundance,half-life,sig(J32),sig(J33),sig(J40)
1,H-nat,1.00794 +- 0.00007,,,,,,XXX
1,H- 1,1.00782503223 +- 0.00000000009,1/2+,99.9885,stable,XXX,XXX,XXX
1,H- 2,2.01410177812 +- 0.00000000012,1+,0.0115,stable,XXX,XXX,XXX
1,H- 3,3.01604927790 +- 0.00000000237,1/2+,,12.32Y 2,,,
2,He-nat,4.002602 +- 0.000002,,,,,,XXX
2,He- 3,3.01602932007 +- 0.00000000250,1/2+,0.000134,stable,XXX,XXX,XXX
2,He- 4,4.00260325413 +- 0.00000000006,0+,99.999866,stable,XXX,XXX,XXX
2,He- 6,6.018886648 +- 0.000000450,0+,,806.7MS 1,,,
2,He- 8,8.033934307 +- 0.000000190,0+,,119.1MS 12,,,
3,Li-nat,6.941 +- 0.002,,,,,,XXX
3,Li- 6,6.01512288741 +- 0.00000000155,1+,7.59,stable,XXX,XXX,XXX
3,Li- 7,7.01600342665 +- 0.00000000454,3/2-,92.41,stable,XXX,XXX,XXX
3,Li- 8,8.022486238 +- 0.000000050,2+,,839.9MS 9,,,
3,Li- 9,9.026790199 +- 0.000000092,3/2-,,178.3MS 4,,,
3,Li- 11,11.043723754 +- 0.000001200,3/2-,,8.7MS 1,,,
4,Be-nat,9.012182 +- 0.000003,,,,,,XXX
4,Be- 7,7.016928707 +- 0.000000076,3/2-,,53.22D 6,,,
4,Be- 8,8.005305102 +- 0.000000037,0+,,6.7E-17S,,,
4,Be- 9,9.012183050 +- 0.000000082,3/2-,100,stable,XXX,XXX,XXX
4,Be- 10,10.013534679 +- 0.000000086,0+,,1.51E6Y 6,,,
4,Be- 11,11.021661078 +- 0.000000255,1/2+,,13.81S 8,,,
4,Be- 12,12.026920848 +- 0.000004509,0+,,21.3MS 1,,,
4,Be- 14,14.042892920 +- 0.000141970,0+,,4.84MS 10,,,
5,B-nat,10.811 +- 0.007,,,,,,XXX
5,B- 8,8.024607326 +- 0.000001073,2+,,770MS 3,,,
5,B- 9,9.013329633 +- 0.000000969,3/2-,,0.85AS 33,,,
5,B- 10,10.012936990 +- 0.000000413,3+,19.9,stable,XXX,XXX,XXX
5,B- 11,11.009305404 +- 0.000000448,3/2-,80.1,stable,XXX,XXX,XXX
5,B- 12,12.014352104 +- 0.000001502,1+,,20.20MS 2,,,
5,B- 13,13.017780216 +- 0.000001163,3/2-,,17.36MS 16,,,
5,B- 14,14.025404012 +- 0.000022773,2-,,12.5MS 5,,,
5,B- 15,15.031094117 +- 0.000024005,,,10.5MS 3,,,
5,B- 17,17.046989906 +- 0.000183440,(3/2-),,5.08MS 5,,,
5,B- 19,19.063100 +- 0.000430,,,2.92MS 13,,,
6,C-nat,12.0107 +- 0.0008,,,,,XXX,XXX
6,C- 9,9.031035568 +- 0.000002293,(3/2-),,126.5MS 9,,,
6,C- 10,10.016853230 +- 0.000000432,0+,,19.310S 4,,,
6,C- 11,11.011433611 +- 0.000001020,3/2-,,1223.1S 12,,,
6,C- 12,12.0000000 +- 0.0000000,0+,98.93,stable,XXX,,
6,C- 13,13.00335483507 +- 0.00000000023,1/2-,1.07,stable,,,
6,C- 14,14.00324198842 +- 0.00000000403,0+,,5700Y 30,,,
6,C- 15,15.010599256 +- 0.000000858,1/2+,,2.449S 5,,,
6,C- 16,16.014701252 +- 0.000003840,0+,,0.747S 8,,,
6,C- 17,17.022579037 +- 0.000018641,,,193MS 13,,,
6,C- 18,18.026752275 +- 0.000032206,(0+),,92MS 2,,,
6,C- 19,19.034797939 +- 0.000105625,,,49MS 4,,,
6,C- 20,20.040319754 +- 0.000256749,0+,,14MS +6 -5,,,
6,C- 22,22.055970 +- 0.000540,0+,,6.1MS +14 -12,,,
7,N-nat,14.0067 +- 0.0002,,,,,,XXX
7,N- 12,12.018613196 +- 0.000001073,1+,,11.000MS 16,,,
7,N- 13,13.005738609 +- 0.000000289,1/2-,,9.965M 4,,,
7,N- 14,14.00307400443 +- 0.00000000020,1+,99.636,stable,XXX,XXX,XXX
7,N- 15,15.00010889888 +- 0.00000000064,1/2-,0.364,stable,XXX,XXX,XXX
7,N- 16,16.006101659 +- 0.000002815,2-,,7.13S 2,,,
7,N- 17,17.008448873 +- 0.000016103,1/2-,,4.173S 4,,,
7,N- 18,18.014077565 +- 0.000019935,1-,,619MS 2,,,
7,N- 19,19.017023163 +- 0.000017610,(1/2-),,0.271S 8,,,
7,N- 20,20.023365807 +- 0.000059678,,,130MS 7,,,
7,N- 21,21.027108240 +- 0.000102035,,,95MS +15 -11,,,
7,N- 22,22.034394934 +- 0.000206349,,,24MS +7 -6,,,
7,N- 23,23.041270 +- 0.000320,,,14.1MS +12 -15,,,
8,O-nat,15.9994 +- 0.0003,,,,,,XXX
8,O- 13,13.024814683 +- 0.000010226,(3/2-),,8.58MS 5,,,
8,O- 14,14.008596359 +- 0.000000117,0+,,70.606S 18,,,
8,O- 15,15.003065618 +- 0.000000526,1/2-,,122.24S 16,,,
8,O- 16,15.99491461957 +- 0.00000000017,0+,99.757,stable,XXX,XXX,XXX
8,O- 17,16.99913175650 +- 0.00000000069,5/2+,0.038,stable,,,
8,O- 18,17.99915961286 +- 0.00000000076,0+,0.205,stable,,,
8,O- 19,19.003578742 +- 0.000002958,5/2+,,26.88S 5,,,
8,O- 20,20.004075354 +- 0.000000950,0+,,13.51S 5,,,
8,O- 21,21.008654882 +- 0.000012882,(5/2+),,3.42S 10,,,
8,O- 22,22.009964211 +- 0.000061107,0+,,2.25S 9,,,
8,O- 23,23.015695922 +- 0.000096629,1/2+,,97MS 8,,,
8,O- 24,24.019861000 +- 0.000118000,0+,,61MS 26,,,
9,F-nat,18.9984032 +- 0.0000005,,,,,,XXX
9,F- 16,16.011465724 +- 0.000008932,0-,,1.0E-19S,,,
9,F- 17,17.002095237 +- 0.000000266,5/2+,,64.49S 16,,,
9,F- 18,18.000937325 +- 0.000000497,1+,,109.77M 5,,,
9,F- 19,18.99840316273 +- 0.00000000092,1/2+,100,stable,XXX,XXX,XXX
9,F- 20,19.999981252 +- 0.000000031,2+,,11.163S 8,,,
9,F- 21,20.999948890 +- 0.000001932,5/2+,,4.158S 20,,,
9,F- 22,22.002998814 +- 0.000013310,(4+),,4.23S 4,,,
9,F- 23,23.003553000 +- 0.000107500,5/2+,,2.23S 13,,,
9,F- 24,24.008115485 +- 0.000077598,"(1,2,3)+",,390MS 70,,,
9,F- 25,25.012199229 +- 0.000081022,(5/2+),,50MS 6,,,
9,F- 26,26.020037768 +- 0.000082963,1+,,9.6MS 8,,,
9,F- 27,27.026441000 +- 0.000204000,5/2+,,5.2MS 3,,,
9,F- 29,29.042890 +- 0.000620,5/2+,,2.4MS 4,,,
9,F- 31,31.060059 +- 0.000641,,,unknown,,,
10,Ne-nat,20.1797 +- 0.0006,,,,,,
10,Ne- 17,17.017713963 +- 0.000000380,1/2-,,109.2MS 6,,,
10,Ne- 18,18.005708704 +- 0.000000390,0+,,1.6656S 19,,,
10,Ne- 19,19.001880907 +- 0.000000172,1/2+,,17.22S 2,,,
10,Ne- 20,19.99244017617 +- 0.00000000168,0+,90.48,stable,,,
10,Ne- 21,20.993846685 +- 0.000000041,3/2+,0.27,stable,,,
10,Ne- 22,21.991385115 +- 0.000000018,0+,9.25,stable,,,
10,Ne- 23,22.994466906 +- 0.000000112,5/2+,,37.24S 12,,,
10,Ne- 24,23.993610650 +- 0.000000550,0+,,3.38M 2,,,
10,Ne- 25,24.997788714 +- 0.000048010,"(1/2,3/2)+",,602MS 8,,,
10,Ne- 26,26.000514705 +- 0.000019523,0+,,197MS 1,,,
10,Ne- 27,27.007553268 +- 0.000070000,,,32MS 2,,,
10,Ne- 28,28.012121998 +- 0.000102872,0+,,19MS 3,,,
10,Ne- 29,29.019753000 +- 0.000107000,(3/2+),,14.8MS 3,,,
10,Ne- 30,30.024734000 +- 0.000301000,0+,,7.3MS 3,,,
10,Ne- 31,31.033087000 +- 0.001739000,,,3.4MS 8,,,
10,Ne- 32,32.039720 +- 0.000540,0+,,3.5MS 9,,,
10,Ne- 34,34.056728 +- 0.000551,0+,,unknown,,,
11,Na-nat,22.98976928 +- 0.00000002,,,,,,XXX
11,Na- 20,20.007354013 +- 0.000001121,2+,,447.9MS 23,,,
11,Na- 21,20.997654696 +- 0.000000296,3/2+,,22.49S 4,,,
11,Na- 22,21.994437411 +- 0.000000183,3+,,2.6027Y 10,,,
11,Na- 23,22.98976928197 +- 0.00000000194,3/2+,100,stable,XXX,XXX,XXX
11,Na- 24,23.990962950 +- 0.000000038,4+,,14.997H 12,,,
11,Na- 24 m,4.72207E+02 keV,1+,,20.20MS 7,,,
11,Na- 25,24.989953970 +- 0.000001288,5/2+,,59.1S 6,,,
11,Na- 26,25.992634649 +- 0.000003759,3+,,1.077S 5,,,
11,Na- 27,26.994076578 +- 0.000004001,5/2+,,301MS 6,,,
11,Na- 28,27.998939000 +- 0.000011000,1+,,30.5MS 4,,,
11,Na- 29,29.002866000 +- 0.000013000,3/2+,,44.9MS 12,,,
11,Na- 30,30.008990000 +- 0.000025000,2+,,48MS 2,,,
11,Na- 31,31.013461796 +- 0.000110501,3/2+,,17.0MS 4,,,
11,Na- 32,32.020193000 +- 0.000129000,"(3-,4-)",,13.2MS 4,,,
11,Na- 33,33.025730 +- 0.000640,"(3/2,5/2+)",,8.0MS 3,,,
11,Na- 34,34.033590 +- 0.000540,1+,,5.5MS 10,,,
11,Na- 35,35.040623 +- 0.000629,,,1.5MS 5,,,
11,Na- 37,37.057051 +- 0.000649,,,unknown,,,
12,Mg-nat,24.3050 +- 0.0006,,,,XXX,,XXX
12,Mg- 19,19.034169186 +- 0.000053678,,,4.0PS 15,,,
12,Mg- 20,20.018850079 +- 0.000028985,0+,,90.8MS 24,,,
12,Mg- 21,21.011715377 +- 0.000017621,5/2+,,122MS 3,,,
12,Mg- 22,21.999570648 +- 0.000000335,0+,,3.8755S 12,,,
12,Mg- 23,22.994124208 +- 0.000000737,3/2+,,11.317S 11,,,
12,Mg- 24,23.985041697 +- 0.000000014,0+,78.99,stable,XXX,XXX,XXX
12,Mg- 25,24.985836977 +- 0.000000050,5/2+,10.00,stable,XXX,XXX,XXX
12,Mg- 26,25.982592968 +- 0.000000031,0+,11.01,stable,XXX,XXX,XXX
12,Mg- 27,26.984340625 +- 0.000000053,1/2+,,9.458M 12,,,
12,Mg- 28,27.983876775 +- 0.000002150,0+,,20.915H 9,,,
12,Mg- 29,28.988617393 +- 0.000012238,3/2+,,1.30S 12,,,
12,Mg- 30,29.990454000 +- 0.000014000,0+,,335MS 17,,,
12,Mg- 31,30.996575000 +- 0.000018000,,,230MS 20,,,
12,Mg- 32,31.999021267 +- 0.000019039,0+,,86MS 5,,,
12,Mg- 33,33.005311000 +- 0.000024000,3/2(-),,90.5MS 16,,,
12,Mg- 34,34.009190000 +- 0.000097000,0+,,20MS 10,,,
12,Mg- 35,35.016790000 +- 0.000193000,,,70MS 40,,,
12,Mg- 36,36.021879000 +- 0.000494000,0+,,3.9MS 13,,,
12,Mg- 37,37.030370 +- 0.000540,,,unknown,,,
12,Mg- 38,38.036580 +- 0.000540,0+,,unknown,,,
12,Mg- 40,40.052180 +- 0.000540,,,unknown,,,
13,Al-nat,26.9815386 +- 0.0000008,,,,,,XXX
13,Al- 22,22.019540 +- 0.000430,(3)+,,91.1MS 5,,,
13,Al- 23,23.007244351 +- 0.000000370,5/2+,,446MS 6,,,
13,Al- 24,23.999947502 +- 0.000001062,4+,,2.053S 4,,,
13,Al- 24 m,4.25800E+02 keV,1+,,131.3MS 25,,,
13,Al- 25,24.990428092 +- 0.000000510,5/2+,,7.183S 12,,,
13,Al- 26,25.986891905 +- 0.000000069,5+,,7.17E+5Y 24,,,
13,Al- 26 m,2.28305E+02 keV,0+,,6.3452S 19,,,
13,Al- 27,26.981538578 +- 0.000000111,5/2+,100,stable,XXX,XXX,XXX
13,Al- 28,27.981910257 +- 0.000000129,3+,,2.2414M 12,,,
13,Al- 29,28.980444997 +- 0.000001293,5/2+,,6.56M 6,,,
13,Al- 30,29.982960221 +- 0.000015077,3+,,3.60S 6,,,
13,Al- 31,30.983945172 +- 0.000021839,"(3/2,5/2)+",,644MS 25,,,
13,Al- 32,31.988124489 +- 0.000092270,1+,,33.0MS 2,,,
13,Al- 33,32.990942272 +- 0.000073335,(5/2+),,41.7MS 2,,,
13,Al- 34,33.996728773 +- 0.000064350,(4-),,56.3MS 5,,,
13,Al- 35,34.999764000 +- 0.000075000,,,150MS 50,,,
13,Al- 36,36.006388000 +- 0.000107000,,,90MS 40,,,
13,Al- 37,37.010531000 +- 0.000129000,,,10.7MS 13,,,
13,Al- 38,38.017402000 +- 0.000268000,,,7.6MS 6,,,
13,Al- 39,39.022540 +- 0.000680,,,7.6MS 16,,,
13,Al- 40,40.030030 +- 0.000750,,,unknown,,,
13,Al- 41,41.036380 +- 0.000860,,,unknown,,,
13,Al- 42,42.044500 +- 0.000970,,,unknown,,,
13,Al- 43,43.051990 +- 0.000970,,,unknown,,,
14,Si-nat,28.0855 +- 0.0003,,,,XXX,,XXX
14,Si- 22,22.035430 +- 0.000430,0+,,29MS 2,,,
14,Si- 23,23.024770 +- 0.000430,,,42.3MS 4,,,
14,Si- 24,24.011545614 +- 0.000020904,0+,,140MS 8,,,
14,Si- 25,25.004108046 +- 0.000010735,5/2+,,220MS 3,,,
14,Si- 26,25.992333846 +- 0.000000114,0+,,2.234S 13,,,
14,Si- 27,26.986704857 +- 0.000000152,5/2+,,4.16S 2,,,
14,Si- 28,27.97692653465 +- 0.00000000044,0+,92.223,stable,XXX,XXX,XXX
14,Si- 29,28.97649466475 +- 0.00000000050,1/2+,4.685,stable,XXX,XXX,XXX
14,Si- 30,29.973770136 +- 0.000000023,0+,3.092,stable,XXX,XXX,XXX
14,Si- 31,30.975363195 +- 0.000000046,3/2+,,157.3M 3,,,
14,Si- 32,31.974151538 +- 0.000000320,0+,,153Y 19,,,
14,Si- 33,32.977976964 +- 0.000000750,(3/2+),,6.18S 18,,,
14,Si- 34,33.978575541 +- 0.000015155,0+,,2.77S 20,,,
14,Si- 35,34.984583473 +- 0.000041236,,,0.78S 12,,,
14,Si- 36,35.986669104 +- 0.000060931,0+,,0.45S 6,,,
14,Si- 37,36.992920740 +- 0.000089074,,,90MS 60,,,
14,Si- 38,37.995523000 +- 0.000075000,0+,,unknown,,,
14,Si- 39,39.002491000 +- 0.000097000,,,47.5MS 20,,,
14,Si- 40,40.005829000 +- 0.000247000,0+,,33.0MS 10,,,
14,Si- 41,41.013011000 +- 0.000397000,,,20.0MS 25,,,
14,Si- 42,42.017780 +- 0.000540,0+,,12.5MS 35,,,
14,Si- 43,43.024800 +- 0.000860,,,unknown,,,
14,Si- 44,44.030610 +- 0.000860,,,unknown,,,
15,P-nat,30.973762 +- 0.000002,,,,,,XXX
15,P- 26,26.011780 +- 0.000210,(3+),,43.7MS 6,,,
15,P- 27,26.999231528 +- 0.000028277,1/2+,,260MS 80,,,
15,P- 28,27.992325176 +- 0.000001169,3+,,270.3MS 5,,,
15,P- 29,28.981800608 +- 0.000000644,1/2+,,4.142S 1,,,
15,P- 30,29.978313753 +- 0.000000335,1+,,2.498M 4,,,
15,P- 31,30.97376199842 +- 0.00000000070,1/2+,100,stable,XXX,XXX,XXX
15,P- 32,31.973907643 +- 0.000000042,1+,,14.263D 3,,,
15,P- 33,32.971725694 +- 0.000001170,1/2+,,25.34D 12,,,
15,P- 34,33.973645886 +- 0.000000870,1+,,12.43S 8,,,
15,P- 35,34.973314055 +- 0.000002003,1/2+,,47.3S 7,,,
15,P- 36,35.978259617 +- 0.000014078,4-,,5.6S 3,,,
15,P- 37,36.979607065 +- 0.000040738,,,2.31S 13,,,
15,P- 38,37.984280346 +- 0.000076522,,,0.64S 14,,,
15,P- 39,38.986263839 +- 0.000086987,(1/2+),,0.28S 4,,,
15,P- 40,39.991331748 +- 0.000119377,"(2-,3-)",,153MS 8,,,
15,P- 41,40.994654000 +- 0.000086000,,,150MS 15,,,
15,P- 42,42.001084000 +- 0.000225000,,,110MS 30,,,
15,P- 43,43.005024000 +- 0.000397000,,,33MS 3,,,
15,P- 44,44.011210 +- 0.000860,,,18.5MS 25,,,
15,P- 45,45.016450 +- 0.000860,,,unknown,,,
15,P- 46,46.024460 +- 0.000860,,,unknown,,,
16,S-nat,32.065 +- 0.005,,,,XXX,,XXX
16,S- 27,27.018287 +- 0.000430,(5/2+),,21MS 4,,,
16,S- 28,28.004372765 +- 0.000171767,0+,,125MS 10,,,
16,S- 29,28.996610693 +- 0.000053677,5/2+,,187MS 4,,,
16,S- 30,29.984903424 +- 0.000003220,0+,,1.178S 5,,,
16,S- 31,30.979556476 +- 0.000001055,1/2+,,2.572S 13,,,
16,S- 32,31.97207117438 +- 0.00000000141,0+,94.99,stable,XXX,XXX,XXX
16,S- 33,32.97145890979 +- 0.00000000145,3/2+,0.75,stable,XXX,XXX,XXX
16,S- 34,33.967867037 +- 0.000000059,0+,4.25,stable,XXX,XXX,XXX
16,S- 35,34.969032348 +- 0.000000046,3/2+,,87.51D 12,,,
16,S- 36,35.967080698 +- 0.000000201,0+,0.01,stable,XXX,XXX,XXX
16,S- 37,36.971125506 +- 0.000000212,7/2-,,5.05M 2,,,
16,S- 38,37.971163301 +- 0.000007699,0+,,170.3M 7,,,
16,S- 39,38.975134208 +- 0.000053677,(7/2)-,,11.5S 5,,,
16,S- 40,39.975383263 +- 0.000121984,0+,,8.8S 22,,,
16,S- 41,40.979507387 +- 0.000065737,,,1.99S 5,,,
16,S- 42,41.981022419 +- 0.000133350,0+,,1.013S 15,,,
16,S- 43,42.987042000 +- 0.000107000,,,220MS 65,,,
16,S- 44,43.990231000 +- 0.000150000,0+,,100MS 1,,,
16,S- 45,44.995717000 +- 0.000741000,,,68MS 2,,,
16,S- 46,46.000040 +- 0.000860,,,50MS 8,,,
16,S- 47,47.007950 +- 0.000860,,,unknown,,,
16,S- 48,48.013700 +- 0.000970,0+,,unknown,,,
17,Cl-nat,35.453 +- 0.002,,,,XXX,,XXX
17,Cl- 31,30.992414204 +- 0.000053677,,,150MS 25,,,
17,Cl- 32,31.985684164 +- 0.000001008,1+,,298MS 1,,,
17,Cl- 33,32.977452062 +- 0.000000469,3/2+,,2.511S 3,,,
17,Cl- 34,33.973762549 +- 0.000000075,0+,,1.5264S 14,,,
17,Cl- 34 m,1.46360E+02 keV,3+,,32.00M 4,,,
17,Cl- 35,34.968852709 +- 0.000000039,3/2+,75.76,stable,XXX,XXX,XXX
17,Cl- 36,35.968306836 +- 0.000000040,2+,,3.01E+5Y 2,,,
17,Cl- 37,36.965902574 +- 0.000000055,3/2+,24.24,stable,XXX,XXX,XXX
17,Cl- 38,37.968010409 +- 0.000000105,2-,,37.230M 14,,,
17,Cl- 38 m,6.71361E+02 keV,5-,,715MS 3,,,
17,Cl- 39,38.968008148 +- 0.000001859,3/2+,,55.6M 2,,,
17,Cl- 40,39.970415469 +- 0.000034423,2-,,1.35M 2,,,
17,Cl- 41,40.970684525 +- 0.000073777,"(1/2+,3/2+)",,38.4S 8,,,
17,Cl- 42,41.973254804 +- 0.000154332,,,6.9S 3,,,
17,Cl- 43,42.973796770 +- 0.000220878,,,3.07S 7,,,
17,Cl- 44,43.977879428 +- 0.000147629,,,0.56S 11,,,
17,Cl- 45,44.980290000 +- 0.000107000,,,400MS 43,,,
17,Cl- 46,45.985174000 +- 0.000172000,,,223MS 37,,,
17,Cl- 47,46.989160 +- 0.000860,,,101MS 6,,,
17,Cl- 48,47.995640 +- 0.000750,,,unknown,,,
17,Cl- 49,49.001230 +- 0.000860,,,unknown,,,
17,Cl- 51,51.015540 +- 0.001070,,,unknown,,,
18,Ar-nat,39.948 +- 0.001,,,,,,XXX
18,Ar- 31,31.012124 +- 0.000221,5/2+,,15MS 3,,,
18,Ar- 32,31.997637806 +- 0.000001900,0+,,98MS 2,,,
18,Ar- 33,32.989925530 +- 0.000000430,1/2+,,173.0MS 20,,,
18,Ar- 34,33.980271063 +- 0.000000360,0+,,844.5MS 34,,,
18,Ar- 35,34.975257613 +- 0.000000801,3/2+,,1.775S 4,,,
18,Ar- 36,35.967545107 +- 0.000000029,0+,0.3336,stable,,,
18,Ar- 37,36.966776303 +- 0.000000221,3/2+,,35.04D 4,,,
18,Ar- 38,37.962732196 +- 0.000000262,0+,0.0629,stable,,,
18,Ar- 39,38.964313038 +- 0.000005367,7/2-,,269Y 3,,,
18,Ar- 40,39.96238312370 +- 0.00000000240,0+,99.6035,stable,XXX,XXX,XXX
18,Ar- 41,40.964500571 +- 0.000000372,7/2-,,109.61M 4,,,
18,Ar- 42,41.963045737 +- 0.000006200,0+,,32.9Y 11,,,
18,Ar- 43,42.965636056 +- 0.000005700,(5/2-),,5.37M 6,,,
18,Ar- 44,43.964923829 +- 0.000001700,0+,,11.87M 5,,,
18,Ar- 45,44.968039750 +- 0.000000550,"5/2-,7/2-",,21.48S 15,,,
18,Ar- 46,45.968084079 +- 0.000043741,0+,,8.4S 6,,,
18,Ar- 47,46.972936232 +- 0.000096381,(3/2-),,1.23S 3,,,
18,Ar- 48,47.975690 +- 0.000750,0+,,475MS 40,,,
18,Ar- 49,48.981980 +- 0.000860,,,170MS 50,,,
18,Ar- 50,49.986310 +- 0.000970,0+,,85MS 30,,,
18,Ar- 51,50.993700 +- 0.001070,,,unknown,,,
19,K-nat,39.0983 +- 0.0001,,,,XXX,,XXX
19,K- 35,34.988005396 +- 0.000000550,3/2+,,190MS 30,,,
19,K- 36,35.981301724 +- 0.000000369,2+,,342MS 2,,,
19,K- 37,36.973375891 +- 0.000000100,3/2+,,1.226S 7,,,
19,K- 38,37.969081197 +- 0.000000264,3+,,7.636M 18,,,
19,K- 38 m,1.30400E+02 keV,0+,,924.0MS 5,,,
19,K- 39,38.96370648636 +- 0.00000000492,3/2+,93.2581,stable,XXX,XXX,XXX
19,K- 40,39.963998166 +- 0.000000060,4-,0.0117,1.277E+9Y 8,XXX,XXX,XXX
19,K- 41,40.96182525793 +- 0.00000000408,3/2+,6.7302,stable,XXX,XXX,XXX
19,K- 42,41.962402306 +- 0.000000113,2-,,12.360H 12,,,
19,K- 43,42.960734713 +- 0.000000440,3/2+,,22.3H 1,,,
19,K- 44,43.961586999 +- 0.000000450,2-,,22.13M 19,,,
19,K- 45,44.960691510 +- 0.000000560,3/2+,,17.81M 61,,,
19,K- 46,45.961981606 +- 0.000000780,(2-),,105S 10,,,
19,K- 47,46.961664836 +- 0.000002700,1/2+,,17.50S 24,,,
19,K- 48,47.965340411 +- 0.000002500,(2-),,6.8S 2,,,
19,K- 49,48.968210272 +- 0.000002800,(3/2+),,1.26S 5,,,
19,K- 50,49.972370747 +- 0.000011000,0-,,472MS 4,,,
19,K- 51,50.976850 +- 0.000640,"(1/2+,3/2+)",,365MS 5,,,
19,K- 52,51.982800 +- 0.000750,(2-),,105MS 5,,,
19,K- 53,52.988110 +- 0.000750,(3/2+),,30MS 5,,,
19,K- 54,53.995330 +- 0.000970,,,10MS 5,,,
20,Ca-nat,40.078 +- 0.004,,,,XXX,,XXX
20,Ca- 35,35.005140 +- 0.000210,,,50MS 30,,,
20,Ca- 36,35.993074479 +- 0.000042941,0+,,100MS +90 -40,,,
20,Ca- 37,36.985898210 +- 0.000000850,3/2+,,175MS 3,,,
20,Ca- 38,37.976319253 +- 0.000000270,0+,,440MS 12,,,
20,Ca- 39,38.970710812 +- 0.000000640,3/2+,,859.6MS 14,,,
20,Ca- 40,39.962590863 +- 0.000000022,0+,96.941,stable,XXX,XXX,XXX
20,Ca- 41,40.962277890 +- 0.000000147,7/2-,,1.02E+5Y 7,,,
20,Ca- 42,41.958617791 +- 0.000000159,0+,0.647,stable,XXX,XXX,XXX
20,Ca- 43,42.958766339 +- 0.000000242,7/2-,0.135,stable,XXX,XXX,XXX
20,Ca- 44,43.955481345 +- 0.000000342,0+,2.086,stable,XXX,XXX,XXX
20,Ca- 45,44.956186141 +- 0.000000387,7/2-,,162.61D 9,,,
20,Ca- 46,45.953687315 +- 0.000002399,0+,0.004,stable,XXX,XXX,XXX
20,Ca- 47,46.954540737 +- 0.000002382,7/2-,,4.536D 3,,,
20,Ca- 48,47.952524131 +- 0.000002342,0+,0.187,6E+18Y GT,XXX,XXX,XXX
20,Ca- 49,48.955664095 +- 0.000002339,3/2-,,8.718M 6,,,
20,Ca- 50,49.957500421 +- 0.000003671,0+,,13.9S 6,,,
20,Ca- 51,50.961488307 +- 0.000100622,(3/2-),,10.0S 8,,,
20,Ca- 52,51.965100000 +- 0.000750000,0+,,4.6S 3,,,
20,Ca- 53,52.970520 +- 0.000540,"(3/2-,5/2-)",,90MS 15,,,
20,Ca- 54,53.975270 +- 0.000750,0+,,86MS 7,,,
20,Ca- 55,54.981780 +- 0.000860,,,22MS 2,,,
20,Ca- 56,55.986690 +- 0.000970,0+,,11MS 2,,,
21,Sc-nat,44.955912 +- 0.000006,,,,,,XXX
21,Sc- 40,39.977967290 +- 0.000003036,4-,,182.3MS 7,,,
21,Sc- 41,40.969251103 +- 0.000000088,7/2-,,596.3MS 17,,,
21,Sc- 42,41.965516495 +- 0.000000181,0+,,680.8MS 3,,,
21,Sc- 42 m,6.16280E+02 keV,(7+),,62.0S 3,,,
21,Sc- 43,42.961150435 +- 0.000001999,7/2-,,3.891H 12,,,
21,Sc- 44,43.959402464 +- 0.000001884,2+,,3.97H 4,,,
21,Sc- 44 m,2.71130E+02 keV,6+,,58.61H 10,,,
21,Sc- 45,44.955909148 +- 0.000000673,7/2-,100,stable,XXX,XXX,XXX
21,Sc- 45 m,1.24000E+01 keV,3/2+,,318MS 7,,,
21,Sc- 46,45.955169130 +- 0.000000682,4+,,83.79D 4,,,
21,Sc- 46 m,1.42528E+02 keV,1-,,18.75S 4,,,
21,Sc- 47,46.952402487 +- 0.000002085,7/2-,,3.3492D 6,,,
21,Sc- 48,47.952224277 +- 0.000005446,6+,,43.67H 9,,,
21,Sc- 49,48.950015588 +- 0.000003341,7/2-,,57.18M 13,,,
21,Sc- 50,49.952177639 +- 0.000016272,5+,,102.5S 5,,,
21,Sc- 50 m,2.56895E+02 keV,"2+,3+",,0.35S 4,,,
21,Sc- 51,50.953593322 +- 0.000021598,(7/2)-,,12.4S 1,,,
21,Sc- 52,51.956675468 +- 0.000207485,3(+),,8.2S 2,,,
21,Sc- 53,52.959700 +- 0.000320,7/2-,,3S GT,,,
21,Sc- 54,53.963850 +- 0.000540,"(3,4)+",,292MS 42,,,
21,Sc- 55,54.968243949 +- 0.000790106,(7/2-),,105MS 6,,,
21,Sc- 56,55.973720 +- 0.000750,0+,,unknown,,,
21,Sc- 57,56.978430 +- 0.000750,,,13MS 4,,,
21,Sc- 58,57.984580 +- 0.000860,,,12MS 5,,,
22,Ti-nat,47.867 +- 0.001,,,,XXX,,XXX
22,Ti- 39,39.002310 +- 0.000320,(3/2+),,26MS 8,,,
22,Ti- 40,39.990498718 +- 0.000171767,0+,,53.3MS 15,,,
22,Ti- 41,40.983800000 +- 0.000390000,3/2+,,80.4MS 9,,,
22,Ti- 42,41.973048996 +- 0.000000296,0+,,0.199S 6,,,
22,Ti- 43,42.968522384 +- 0.000007407,7/2-,,509MS 5,,,
22,Ti- 44,43.959689948 +- 0.000000751,0+,,58.9Y 3,,,
22,Ti- 45,44.958122855 +- 0.000000866,7/2-,,184.8M 5,,,
22,Ti- 46,45.952627708 +- 0.000000333,0+,8.25,stable,XXX,XXX,XXX
22,Ti- 47,46.951758755 +- 0.000000375,5/2-,7.44,stable,XXX,XXX,XXX
22,Ti- 48,47.947941946 +- 0.000000376,0+,73.72,stable,XXX,XXX,XXX
