,Protons,Protons_log,Protons_reciprocal,Neutrons,Neutrons_log,Neutrons_reciprocal,Neutrons_power,Atomic Weight,Atomic Weight_log,Atomic Weight_reciprocal,Atomic Weight_power,Abs(Z-N)/Atomic Weight,Abs(Z-N)/Atomic Weight_reciprocal,Z-N,Z-N_log,Z-N_reciprocal,Z/N,Z/N_power,Even Z,Even N,Even N-Z,Last Shell Filled,Last Shell Fill Ratio,Last Orbital Label Encoded (Complex),Last Orbital Label Encoded (Simple),Last Principal Quantum Number,Last Azimuthal Quantum Number Encoded,Is Magic Number,Magic Number,Closest Magic Number,Distance To Magic Number,Distance To Magic Number_abs,Half-life,Half-life Magnitude,Half-life Time,Artificial
0,1,0.6931471805599453,1.0,0,0.0,0.0,0,1.00782503207,0.6970520626096645,0.9922357236415056,1.0157112952668963,0.9922357236415056,1.00782503207,1,0.6931471805599453,1.0,0.0,0.0,1,0,1,0,0.5,10,1,1,0,False,0,2,-1,1,2.4869290000029843e+62,62.0,8.0,0
1,1,0.6931471805599453,1.0,1,0.6931471805599453,1.0,1,2.01410177785,1.1033018679984652,0.4964992390143626,4.056605971538531,0.0,0.0,0,0.0,0.0,1.0,1.0,1,1,3,0,0.5,10,1,1,0,False,0,2,-1,1,2.4869290000029843e+62,62.0,8.0,0
2,1,0.6931471805599453,1.0,2,1.0986122886681096,0.5,4,3.01604927767,1.3902986526503036,0.3315595694684848,9.096553245333729,0.3315595694684848,3.01604927767,-1,0.0,-1.0,0.5,0.25,1,0,1,0,0.5,10,1,1,0,False,0,2,-1,1,388572800.0,8.0,7.019867545317982,0
3,1,0.6931471805599453,1.0,3,1.3862943611198906,0.3333333333333333,9,4.027806424,1.614983790384645,0.2482740963024989,16.223224589215672,0.4965481926049979,2.013903212,-2,0.0,-0.5,0.3333333333333333,0.1111111111111111,1,1,3,0,0.5,10,1,1,0,False,0,2,-1,1,9.917391304348e-23,-23.0,9.917391304348e-17,0
4,1,0.6931471805599453,1.0,4,1.6094379124341005,0.25,16,5.035311488,1.797627466804966,0.1985974457356152,25.35436178118477,0.5957923372068458,1.6784371626666663,-3,0.0,-0.3333333333333333,0.25,0.0625,1,0,1,0,0.5,10,1,1,0,False,0,2,-1,1,8.003508771930002e-23,-23.0,8.003508771930002e-17,0
5,1,0.6931471805599453,1.0,5,1.791759469228055,0.2,25,6.044942594,1.9523099968433493,0.1654275428508726,36.54133096475545,0.6617101714034904,1.5112356485,-4,0.0,-0.25,0.2,0.04,1,1,3,0,0.5,10,1,1,0,False,0,2,-1,1,2.9e-22,-22.0,2.9000000000000003e-16,0
6,1,0.6931471805599453,1.0,6,1.9459101490553128,0.1666666666666666,36,7.052749,2.0860135238190294,0.1417886841003415,49.741268457001006,0.7089434205017079,1.4105498,-5,0.0,-0.2,0.1666666666666666,0.0277777777777777,1,0,1,0,0.5,10,1,1,0,False,0,2,-1,1,2.3e-23,-23.0,2.3e-17,0
7,2,1.0986122886681096,0.5,1,0.6931471805599453,1.0,1,3.01602931914,1.3902936829454482,0.3315617635590966,9.096432853912091,0.3315617635590966,3.01602931914,1,0.6931471805599453,1.0,2.0,4.0,0,1,2,1,1.0,10,1,1,0,True,2,2,0,0,2.4869290000029843e+62,62.0,8.0,0
8,2,1.0986122886681096,0.5,2,1.0986122886681096,0.5,4,4.00260325415,1.6099584277724843,0.2498374024363205,16.020832810132173,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0,0,1,1.0,10,1,1,0,True,2,2,0,0,2.4869290000029843e+62,62.0,8.0,0
9,2,1.0986122886681096,0.5,3,1.3862943611198906,0.3333333333333333,9,5.012223624,1.7937946674730822,0.199512247460729,25.12238565698369,0.199512247460729,5.012223624,-1,0.0,-1.0,0.6666666666666666,0.4444444444444444,0,1,2,1,1.0,10,1,1,0,True,2,2,0,0,7.603333333333001e-22,-22.0,7.603333333333004e-16,0
