Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M,N/P,Adj. N/P,P/N,Adj. P/N,M/P,M/N,M*N/P,M*P/N,Adj. M*N/P,Adj. M*P/N,N/Mass,P/Mass,Adj. N/Mass,Adj. P/Mass,Adj. N/Mass - Z,Adj. P/Mass - Z,Half Life (Seconds),Half Life Seconds Value,Magnitude of Value,isStable,(-ZM/N)^Adj. P/Mass,-ZM/N
4,4.0,Be- 8,8.005305102000001,0.0,6.7E-17S,4.941669999999999,1.0,0.0,1.0,0.0,1.2354174999999998,1.2354174999999998,4.941669999999999,4.941669999999999,0.0,0.0,0.4996686508551263,0.4996686508551263,0.5003313491448738,0.5003313491448738,-3.499668650855126,-3.499668650855126,6.7e-17,2,2.0,1.0,,-4.941669999999999
4,5.0,Be-nat,9.012182000000001,0.0,,11.3484,1.25,0.25,0.8,0.19999999999999996,2.8371,2.26968,14.1855,9.07872,2.8371,2.2696799999999993,0.554804596711429,0.4438436773691432,0.445195403288571,0.5561563226308568,-3.554804596711429,-3.443843677369143,,,,,,-9.07872
4,5.0,Be- 9,9.01218305,0.0,-1.0,11.3484,1.25,0.25,0.8,0.19999999999999996,2.8371,2.26968,14.1855,9.07872,2.8371,2.2696799999999993,0.554804532071727,0.4438436256573816,0.445195467928273,0.5561563743426183,-3.554804532071727,-3.4438436256573817,-1.0,2,2.0,1.0,,-9.07872
4,6.0,Be- 10,10.013534679,0.0,1.51E6Y 6,12.6075,1.5,0.5,0.6666666666666666,0.33333333333333337,3.151875,2.10125,18.91125,8.405,6.30375,4.202500000000001,0.5991890168995939,0.39945934459972926,0.4008109831004061,0.6005406554002708,-3.5991890168995937,-3.3994593445997294,47619360000000.0,4.761936,13.0,1.0,,-8.405
4,7.0,Be- 11,11.021661078,0.0,13.81S 8,20.1772,1.75,0.75,0.5714285714285714,0.4285714285714286,5.0443,2.8824571428571426,35.3101,11.52982857142857,15.1329,8.647371428571429,0.6351129789295087,0.3629217022454336,0.3648870210704913,0.6370782977545664,-3.6351129789295085,-3.3629217022454334,13.81,1.381,1.0,0.0,,-11.52982857142857
4,8.0,Be- 12,12.026920848,0.0,21.3MS 1,25.0778,2.0,1.0,0.5,0.5,6.26945,3.134725,50.1556,12.5389,25.0778,12.5389,0.6651744117306924,0.3325872058653462,0.33482558826930764,0.6674127941346538,-3.6651744117306926,-3.3325872058653463,0.0213,2.13,-2.0,0.0,,-12.5389
4,9.0,,,,,33.659,2.25,1.25,0.4444444444444444,0.5555555555555556,8.41475,3.739888888888889,75.73275,14.959555555555553,42.07375,18.699444444444445,,,,,,,,,,,,-14.959555555555555
4,10.0,Be- 14,14.04289292,0.001,4.84MS 10,39.95,2.5,1.5,0.4,0.6,9.9875,3.995,99.875,15.980000000000002,59.925000000000004,23.970000000000002,0.7121039843405713,0.2848415937362285,0.2878960156594287,0.7151584062637715,-3.712103984340571,-3.2848415937362283,0.00484,4.84,-3.0,0.0,,-15.98
4,11.0,,,,,49.76,2.75,1.75,0.36363636363636365,0.6363636363636364,12.44,4.5236363636363635,136.84,18.094545454545454,87.08,31.665454545454544,,,,,,,,,,,,-18.094545454545454
4,12.0,,,,,57.45,3.0,2.0,0.3333333333333333,0.6666666666666667,14.3625,4.7875000000000005,172.35000000000002,19.15,114.9,38.300000000000004,,,,,,,,,,,,-19.150000000000002
5,1.0,,,,,47.32,0.2,0.8,5.0,4.0,9.464,47.32,9.464,236.6,37.856,189.28,,,,,,,,,,,,-236.6
5,2.0,,,,,27.677,0.4,0.6,2.5,1.5,5.5354,13.8385,11.0708,69.1925,16.606199999999998,41.5155,,,,,,,,,,,,-69.1925
5,3.0,B- 8,8.024607326,0.0,770MS 3,22.9216,0.6,0.4,1.6666666666666667,0.6666666666666667,4.58432,7.640533333333334,13.75296,38.20266666666667,9.168640000000002,15.28106666666667,0.3738500686855914,0.623083447809319,0.6261499313144085,0.376916552190681,-4.3738500686855915,-4.623083447809319,0.77,7.7,-1.0,0.0,,-38.20266666666667
5,4.0,B- 9,9.013329633,0.0,0.85AS 33,12.4165,0.8,0.19999999999999996,1.25,0.25,2.4833,3.104125,9.9332,15.520624999999999,2.4832999999999994,3.104125,0.44378716444087696,0.5547339555510962,0.556212835559123,0.44526604444890383,-4.443787164440877,-4.554733955551097,2.0560516775326498e-23,2.056052,-23.0,0.0,,-15.520624999999999
5,5.0,B-nat,10.811,0.0647,,12.0507,1.0,0.0,1.0,0.0,2.41014,2.41014,12.0507,12.0507,0.0,0.0,0.4624919063916382,0.4624919063916382,0.5375080936083618,0.5375080936083618,-4.462491906391638,-4.462491906391638,,,,,,-12.0507
5,5.0,B- 10,10.01293699,0.0,-1.0,12.0507,1.0,0.0,1.0,0.0,2.41014,2.41014,12.0507,12.0507,0.0,0.0,0.4993539862473458,0.4993539862473458,0.5006460137526543,0.5006460137526543,-4.499353986247346,-4.499353986247346,-1.0,2,2.0,1.0,,-12.0507
5,6.0,B- 11,11.009305404000001,0.0,-1.0,8.6679,1.2,0.19999999999999996,0.8333333333333334,0.16666666666666663,1.73358,1.44465,10.40148,7.22325,1.7335799999999995,1.4446499999999995,0.5449935104734241,0.4541612587278535,0.45500648952657585,0.5458387412721465,-4.544993510473424,-4.454161258727853,-1.0,2,2.0,1.0,,-7.22325
