Z,N,Mass,Mass Uncertainty (%),M,N/P,Adj. N/P,P/N,Adj. P/N,M/P,M/N,M*N/P,M*P/N,Adj. M*N/P,Adj. M*P/N,N/Mass,P/Mass,Adj. N/Mass,Adj. P/Mass,Adj. N/Mass - Z,Adj. P/Mass - Z,(-ZM/N)^Adj. P/Mass,-ZM/N
0.5432098765432098,0.36800000000000005,0.44792297980502666,0.05,0.29156633341661853,0.25919075144508685,0.05066666666666671,0.5540240106714096,0.08717948717948712,0.45809816910959256,0.38191980740292464,0.4854848626700574,0.14380235762646054,0.9469830384916368,0.9172970054403611,0.3911905443922401,0.6787313408805922,0.6088094556077592,0.3212686591194074,0.4573206955266641,0.4564445384939213,0.7213134392502972,0.8561976423735391
0.2716049382716049,0.328,0.3150517864424021,0.35,0.5172002195238776,0.8903798513625105,0.8595238095238096,0.05079326036157916,0.9163120567375886,0.34052177023331376,0.5339653757513427,0.43405723023888987,0.6384774326338848,0.38705954780757923,0.4075957054974334,0.940835182901727,0.08493636582205233,0.05916481709827259,0.915063634177947,0.7272275818911411,0.7297576953227686,0.679249026182814,0.3615225673661151
0.30864197530864196,0.29600000000000004,0.3099836451015194,0.0,0.25752922166128955,0.6022748461681895,0.4903225806451614,0.22301384594703588,0.6325581395348838,0.08397125362400526,0.21664271238220612,0.28079656530393615,0.32720806148909287,0.46228200734396174,0.3710913799982417,0.723600727686442,0.31356186660945884,0.27639927231355776,0.6864381333905407,0.6907846768356161,0.6921277733329537,0.8434956407312282,0.6727919385109068
0.6419753086419753,0.624,0.6448904763800981,0.0,0.07768657620217134,0.6627466613514053,0.5678160919540229,0.18111753371868977,0.7015873015873016,0.39180623031554485,0.5018636645634784,0.06718515804534297,0.19954778220682867,0.226465773123388,0.13350116582124416,0.7907563140662219,0.2735368507665581,0.20924368593377785,0.7264631492334415,0.3576451931164766,0.35857208728528756,0.9644156310037187,0.800452217793171
0.8395061728395061,0.752,0.8026954795757373,0.0,0.4519867892887186,0.566942665208561,0.445045045045045,0.24924855491329478,0.5893333333333334,0.7167625086878125,0.7513777422846433,0.4828399918713231,0.4902808821546537,0.639763008459763,0.5675262350166391,0.7125033787049824,0.3604372697131826,0.2874966212950174,0.639562730286817,0.16053002653631898,0.16063979430207365,0.6932495142587655,0.5097191178453461
0.30864197530864196,0.184,0.24113097768488612,0.05,0.5659711803990927,0.15588290136117855,0.08172043010752694,0.7018138329679089,0.15632183908045957,0.4645137733236189,0.321000354122155,0.7164559768667802,0.41683635906727723,0.9476107090811771,0.9091456016684883,0.24889921311358076,0.7945228427718667,0.751100786886419,0.2054771572281333,0.6919943583715502,0.6909552982064072,0.5434484517092416,0.5831636409327225
0.4691358024691358,0.48000000000000004,0.48728006871556534,0.0,0.12636697802251762,0.7138728323699421,0.6333333333333333,0.1483622350674374,0.7555555555555556,0.24060489091003934,0.39947086296316736,0.08486339813114208,0.2679412138262609,0.18275043798395418,0.11609991061139646,0.8259084727709283,0.2271433942935892,0.17409152722907173,0.7728566057064099,0.5302058710654519,0.5316905772139925,0.948475987580382,0.7320587861737389
0.7407407407407407,0.76,0.7681654175243894,0.05,0.34611998092804486,0.7438255386232266,0.6717171717171716,0.13020088135981234,0.7854785478547854,0.6210817159124498,0.7062853081686109,0.30121893189112015,0.462932585142094,0.35124931971104545,0.3122349091553528,0.856779086810096,0.2084544694435022,0.14322091318990382,0.7915455305564971,0.25881965809093,0.25987051893917534,0.7975234614201513,0.5370674148579059
0.8888888888888888,0.856,0.8865101121156942,0.0,0.6104760460389143,0.6631836371720767,0.5683760683760682,0.1808276638191212,0.7020648967551623,0.8090010419049071,0.843611539492193,0.6059206881205781,0.6620452893580095,0.6729883217510743,0.6337993068118233,0.7950558054374133,0.27601777833086416,0.20494419456258628,0.7239822216691354,0.11099101362521568,0.11141547780564265,0.5768794440189876,0.3379547106419903
0.9876543209876542,0.9199999999999999,0.9654689105171466,0.0,0.9057858507477669,0.6219249899179999,0.5155038759689923,0.209000143314384,0.6556473829201103,0.9581004739474472,0.9646751978188922,0.9074303385770663,0.9158338645112875,0.9282633032717477,0.9172831102534504,0.7616576554021646,0.3122609053552341,0.2383423445978352,0.6877390946447655,0.012418832867307161,0.012466900566688421,0.24948339278841208,0.08416613548871249
0.6296296296296297,0.52,0.5759262399108495,0.0,0.14208933923531064,0.4624277456647401,0.3111111111111112,0.33566718228445835,0.4469483568075117,0.42434982662958587,0.4518079994526679,0.2537382486272485,0.13430133722695847,0.6057688876304281,0.48653937778069023,0.6116399957106666,0.45763267150426135,0.38836000428933315,0.5423673284957387,0.3704337962596682,0.3704808309877555,0.8691740199634357,0.8656986627730412
0.5432098765432098,0.576,0.575930112754422,0.0,0.09045976723049654,0.7731791907514451,0.7093333333333334,0.11308729805839646,0.8136752136752136,0.3042658181628499,0.4709748856175635,0.009140361664130126,0.26716620089796184,0.04705992247585977,0.00898384460466417,0.8744014174360188,0.18236254296307042,0.1255985825639807,0.8176374570369296,0.45608932959851933,0.4576545744386161,0.983031083840107,0.7328337991020377
0.8518518518518517,0.736,0.7978008744644394,0.0,0.5247940872574681,0.5227745664739885,0.38844444444444437,0.2840627580511974,0.5319727891156464,0.7576673099994784,0.7800090890919582,0.5663770363064968,0.5428852885457344,0.7273509058200588,0.6614841662166464,0.6726636755078585,0.40182574880949185,0.32733632449214123,0.5981742511905082,0.1482993888689531,0.14818137038419266,0.6326445093245521,0.45711471145426547
0.4814814814814815,0.36800000000000005,0.4232066656079267,0.0,0.09877374311123821,0.37341040462427744,0.1970370370370369,0.4217429968875055,0.30512820512820504,0.2340282486858043,0.21371594165226526,0.2727390122105302,0.019717653872648788,0.7377140583522804,0.6317659675467178,0.5164776676993705,0.5460529745773757,0.48352233230062924,0.45394702542262433,0.518662232213506,0.5185556190150346,0.86472761208898,0.9802823461273509
0.09876543209876543,0.048,0.07382634313798199,0.0,0.922086698838771,0.07844756399669683,0.180952380952381,0.836223506743738,0.37777777777777793,0.7871493401491836,0.7054362245571425,0.9533630176702927,0.8857472741184804,0.9791757573105107,0.9605855249695755,0.09819768707521703,0.8460041838653134,0.9018023129247827,0.1539958161346866,0.9020251305997892,0.9009077755323031,0.23875199950607562,0.11425272588151959
0.9753086419753086,0.832,0.9063857810058441,0.0,0.9620743042500565,0.5103706222373343,0.3725490196078432,0.2942722017866526,0.5151515151515151,0.9829350090670038,0.9843580875947094,0.9657253568741491,0.9631643809931936,0.979130584271402,0.9738376789118284,0.6623381905510795,0.4146615791156032,0.3376618094489199,0.5853384208843964,0.025004089744800284,0.024574798738100867,0.15062259037078285,0.03683561900680639
0.5432098765432098,0.616,0.6006361922868252,0.05,0.2267107751091345,0.8720231213872833,0.8359999999999999,0.0599623929242985,0.9012048192771083,0.4084882374419696,0.5773188850865327,0.10357146574108367,0.4144795798356049,0.04513594486301309,0.06680329342960678,0.9454206284571525,0.1087360452183761,0.05457937154284709,0.8912639547816235,0.45590835139299135,0.4578340593480763,0.9048693523138258,0.5855204201643949
0.7654320987654321,0.648,0.7090220480085375,0.0,0.32125442839233664,0.4958347500850051,0.35392156862745083,0.30649126303900087,0.4950191570881225,0.6182407864820332,0.646054223475659,0.39356679288890906,0.33318579287227734,0.6451806073339077,0.5500784981971876,0.6463794342220557,0.42686488285885504,0.3536205657779441,0.5731351171411445,0.23469149706769488,0.23462302712093286,0.7693205351118637,0.6668142071277224
0.8765432098765432,0.824,0.8618623631981509,0.0,0.5725721717479753,0.6304331506643646,0.5264069264069263,0.20305456859521664,0.6654434250764526,0.787693397833714,0.8220961797476319,0.5774635373416523,0.6204795376517167,0.6676637630390968,0.6191257029830223,0.7677564317388552,0.3040286718797711,0.23224356826114456,0.6959713281202289,0.123392741755045,0.12370472159819668,0.6067692635913731,0.3795204623482833
0.9135802469135802,0.848,0.8914638874501609,0.0,0.6507366379023467,0.615028901734104,0.5066666666666665,0.21387283236994226,0.6476190476190475,0.83302383808878,0.8585236047678133,0.6585346099720364,0.6864309647838316,0.7386222154867992,0.6971131788956737,0.7551312427112808,0.3178230682504082,0.24486875728871893,0.6821769317495918,0.08642843105030684,0.08659850971964078,0.537733148914642,0.31356903521616825
0.345679012345679,0.29600000000000004,0.32471673703919424,0.0,0.18606503449427125,0.4812988779326759,0.33529411764705874,0.3189944885065197,0.47441860465116287,0.08440751502729282,0.1412431229919997,0.2811390880696367,0.1910748424791716,0.5969035728478151,0.48291832063133533,0.6169959878927109,0.4282330343340077,0.3830040121072884,0.5717669656659923,0.6540598541540402,0.6547756464818306,0.8569261921681612,0.8089251575208282
0.5432098765432098,0.6,0.5907298728480087,0.0,0.15690610989941423,0.8324855491329481,0.7853333333333334,0.08042531934632124,0.8674897119341565,0.35509258776276675,0.5277848666269693,0.04620161682033186,0.34586241602687406,0.022035067458020863,0.020627267871837218,0.9177701551779114,0.13758549222723793,0.0822298448220884,0.8624145077727619,0.4559788130746142,0.4577637308584296,0.9488398223106408,0.6541375839731257
0.8641975308641975,0.872,0.8865122710134853,0.0,0.6028832693782739,0.7268786127167628,0.6499999999999999,0.14038703191756718,0.7686956521739131,0.8001537409848758,0.84333595992732,0.580368522801751,0.670130538545789,0.6187368339657991,0.5912287507743655,0.8454695138978208,0.2231985091415436,0.154530486102179,0.7768014908584564,0.1355268667174223,0.1362592955060169,0.5878050116619855,0.32986946145421087
0.38271604938271603,0.28,0.3296757684231542,0.0,0.2696903207645366,0.3265114825808466,0.13693693693693695,0.4727195826871564,0.22113821138211376,0.2450872446699477,0.19188684250685284,0.4348616039549196,0.1716133351419129,0.852286232634634,0.7837388129624245,0.46029751580597456,0.5927049284359951,0.5397024841940257,0.40729507156400446,0.6174626852952575,0.617302116614963,0.7602828558198987,0.8283866648580868
0.5432098765432098,0.52,0.5413978151548177,0.0,0.026790205219911156,0.6347976878612716,0.5319999999999998,0.20003256533420155,0.6704225352112677,0.25556309008398104,0.3781335880857096,0.03492638779599444,0.1385574847252804,0.2352642160250522,0.12629904901932643,0.7648923017003475,0.295423793739948,0.23510769829965228,0.7045762062600516,0.45636839160117837,0.45737895643449067,0.98957570565313,0.8614425152747195
0.7160493827160493,0.712,0.7287068216934194,0.0,0.2519516567397213,0.6984284682080926,0.6135416666666667,0.15801642835412233,0.7396491228070176,0.5529654165145271,0.6427641478891929,0.22457656516378333,0.3665764451678545,0.3220978112723548,0.25909394305770217,0.820993232603366,0.24484217846267642,0.17900676739663401,0.7551578215373231,0.28357517346809447,0.28449687000868407,0.8576215501164866,0.6334235548321452
0.5185185185185185,0.584,0.5710745559615371,0.0,0.2527132256589808,0.8580202312138729,0.8180555555555554,0.06709592448964663,0.8894514767932489,0.40456070801384036,0.5708499348859343,0.14110756930838542,0.42929770725388783,0.0970506215768554,0.10994408679460266,0.9347910963612196,0.11826069309415232,0.0652089036387804,0.8817393069058475,0.48059976093220225,0.48252589654343436,0.8842337625228999,0.570702292746112
0.9135802469135802,0.768,0.8422410409062998,0.0,0.7427577305246206,0.49147398843930623,0.3483333333333332,0.3102119460500963,0.488888888888889,0.8770173699859163,0.8855828466184119,0.7709564097747904,0.7464052124090128,0.8676479485955119,0.831592963830875,0.6440373921495186,0.43258996046293374,0.35596260785048117,0.5674100395370663,0.08671153143160937,0.08631873374375187,0.4445398211280234,0.2535947875909872
0.9382716049382717,0.944,0.9604751371029339,0.0,0.740487207715195,0.7259269702523616,0.6487804878048781,0.14096587730747712,0.7677419354838712,0.878957928069709,0.9050519470316772,0.7259484714379241,0.7842955459179591,0.7513148460572553,0.733202493066564,0.8455907211364537,0.22456024040225486,0.15440927886354605,0.7754397595977451,0.06153359091497501,0.062110807450037386,0.45443104476439555,0.21570445408204078
0.7037037037037036,0.64,0.6794093697739343,0.0,0.16598383684531537,0.5805119735755575,0.4624338624338625,0.23901061970694992,0.6062015503875969,0.49367968980926047,0.5600280452382955,0.20494349639964726,0.23206450690290015,0.4303377974382455,0.3229835155793891,0.7223649539766281,0.34644129255932077,0.2776350460233712,0.6535587074406788,0.29615866899621734,0.2966067222030103,0.8880167904754814,0.7679354930970995
0.35802469135802467,0.384,0.38389909071071404,0.0,0.2550808539609767,0.7562345169281586,0.6876190476190477,0.1228858916720188,0.7975308641975308,0.18598478356446113,0.37415850471237366,0.19739755652008872,0.39313569108357127,0.24342786109856995,0.2044556987927152,0.8521471900296258,0.18909928897058625,0.14785280997037398,0.8109007110294133,0.6411284573558936,0.6430010729113249,0.8714387333239277,0.6068643089164285
0.2222222222222222,0.20800000000000002,0.2213977407187429,0.0,0.39684178023826855,0.5491329479768785,0.42222222222222217,0.26300578034682087,0.5666666666666667,0.0388051397075444,0.14487372620713335,0.4383889907126014,0.43140807294143724,0.6238460325817385,0.54231503020904,0.6658364452390253,0.3527505520898706,0.3341635547609745,0.647249447910129,0.7772570056011239,0.7785349366327479,0.7425628607069583,0.5685919270585625
0.9753086419753086,0.864,0.9260634871434482,0.0,0.9037346336013372,0.5568854131247873,0.4321568627450979,0.2569719095426428,0.5766081871345029,0.9566845756611548,0.961689819800167,0.909838398111388,0.9097821822959546,0.9385524189386744,0.9256709459264134,0.7048808457210054,0.3707508932286001,0.2951191542789944,0.6292491067713994,0.02489567832653239,0.02468184315447508,0.2542659302536388,0.09021781770404529
0.6049382716049382,0.504,0.5562071446846004,0.0,0.10825516704872373,0.47125591171833947,0.3224242424242425,0.3278043059395157,0.4599033816425121,0.37988913178522477,0.41367219647917786,0.21874532671849,0.10656620621423363,0.5753202054341006,0.450819715501688,0.6195696805001689,0.4482966015587597,0.38043031949983086,0.5517033984412403,0.39507791135953485,0.3952186463884365,0.8914303728511341,0.8934337937857658
0.2222222222222222,0.21600000000000003,0.22632750906346688,0.2,0.42692375254901915,0.5903179190751446,0.475,0.23173935890698893,0.6181818181818182,0.08674386660407207,0.21214291199969293,0.4497237969089716,0.47613680734437147,0.5979321690722578,0.5256090785728762,0.702385775622143,0.31585158398886115,0.2976142243778568,0.6841484160111384,0.7771638669681977,0.7786248880517566,0.7272159552815707,0.5238631926556283
0.8765432098765432,0.76,0.8224610793879986,0.0,0.604464234083155,0.5277381577959614,0.39480519480519494,0.2800320494477193,0.5386138613861385,0.8035344239506776,0.8223303018810025,0.637688570745635,0.6209789880860959,0.7693455023170388,0.7147202013018982,0.6775248289190015,0.39734052853969537,0.3224751710809983,0.6026594714603037,0.12362267888509004,0.12347724819314299,0.5703645384553774,0.37902101191390397
0.8148148148148148,0.6,0.6993362829188049,0.2,0.7021370845876126,0.3432080924855492,0.15833333333333333,0.4540783558124597,0.25185185185185194,0.8417749030653939,0.8331676009281015,0.7659899099141404,0.667208604654318,0.9303402197954377,0.8995455181846574,0.49227075799887743,0.5867926462262223,0.5077292420011223,0.4132073537737777,0.1857555674789122,0.18480304675023107,0.47011610349349914,0.3327913953456819
0.3333333333333333,0.29600000000000004,0.3198070584316466,0.0,0.21124808925849592,0.5191802417235942,0.38383838383838376,0.2870009409866918,0.5271317829457364,0.08584904914778158,0.16781296257299116,0.28227088256275545,0.23915869158197323,0.5528202433406506,0.4432408540731675,0.651600138666677,0.3909923588783415,0.3483998613333228,0.6090076411216585,0.6663038335759661,0.6672239589835269,0.8526205629557315,0.7608413084180264
0.8888888888888888,0.9359999999999999,0.9358437563799188,0.05,0.7409792816157481,0.7899066251667408,0.7307692307692306,0.10362329056816588,0.8292682926829268,0.8729919255713424,0.9044615106252966,0.7147598621406085,0.7935417841766597,0.7204187350707844,0.7123679364156248,0.8934058704159744,0.17388665544833715,0.10659412958402537,0.8261133445516622,0.11074038822375765,0.11166445060626662,0.4547279389043189,0.2064582158233403
0.3333333333333333,0.24000000000000005,0.2853748356892703,0.05,0.3114238611107777,0.3095112979506043,0.11515151515151506,0.4922928709055876,0.18888888888888897,0.20195117941714358,0.13224235944278717,0.4754267320122153,0.20663765603390827,0.8828843495515171,0.8258329025448827,0.4375840732775611,0.6083622527116499,0.5624159267224391,0.39163774728834966,0.6668492105649726,0.6666940598723494,0.7337800285006423,0.7933623439660914
0.1728395061728395,0.112,0.1426717271052434,0.0,0.6198003554715672,0.21965317919075145,0.0,0.6069364161849711,0.0,0.2729351624850034,0.13755642968399373,0.734492170837024,0.5221188703802015,1.0,1.0,0.3091491523051646,0.6912934227943528,0.6908508476948352,0.30870657720564676,0.8274945961990878,0.8271397572530133,0.5297524702577959,0.47788112961979823
0.5185185185185185,0.448,0.4872141061971366,0.0,0.014228682343930155,0.5079479768786128,0.3694444444444445,0.2962893902666417,0.5118279569892473,0.21453584407003645,0.2786708781527598,0.11081473932759622,0.040745377602723676,0.4620788419020543,0.3243715717142912,0.651713796159564,0.41021720530162176,0.34828620384043574,0.5897827946983782,0.4813211266173407,0.4818141719637652,0.9576867637803154,0.959254622397276
0.18518518518518517,0.12000000000000001,0.15251841800923716,0.0,0.6495353665841452,0.21965317919075145,0.0,0.6069364161849711,0.0,0.3617125072343892,0.24286402567574195,0.7552572566656278,0.5594934468802946,1.0,1.0,0.3118574019640663,0.6941302817785457,0.6881425980359335,0.30586971822145426,0.8151555336133646,0.8147753135495568,0.5071431572766856,0.4405065531197053
0.3950617283950617,0.36800000000000005,0.38872128242801757,0.0,0.062234801081035074,0.5838150289017341,0.4666666666666667,0.23654957759003992,0.6102564102564103,0.056152247501022545,0.18183716825031948,0.10385252768452069,0.1386442844001956,0.3536106361323713,0.2336728805829561,0.7143928792980603,0.3351369480789792,0.28560712070193905,0.6648630519210199,0.6044830131040447,0.6055724815801766,0.9579373285285264,0.8613557155998041
0.38271604938271603,0.41600000000000004,0.41346981815063505,0.0,0.2810483901764157,0.7806592719887517,0.7189189189189189,0.10882997807454664,0.8206896551724137,0.2568279510014423,0.43763194236457115,0.21296951385246987,0.4235235556212512,0.23656356643668508,0.20989219333340048,0.8721002908552715,0.17133327038839763,0.12789970914472826,0.8286667296116024,0.6164132885730419,0.6183293263317149,0.8556573774729781,0.5764764443787486
