Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M
23,21.0,V- 45,44.965775659,0.0,547MS 6,-24.12
23,22.0,V- 46,45.960198982,0.0,422.50MS 11,-31.881
23,23.0,V- 47,46.954905117,0.0,32.6M 3,-37.0746
23,24.0,V- 48,47.952252576,0.0,15.9735D 25,-42.0058
23,25.0,V- 49,48.948511762,0.0,330D 15,-44.4768
23,26.0,V- 50,49.947155781,0.0,1.4E+17Y +4 -3,-47.96100000000001
23,27.0,V-nat,50.9415,0.0002,,-49.2239
23,27.0,V- 51,50.943956803,0.0,-1.0,-49.2239
23,28.0,V- 52,51.944772775,0.0,3.743M 5,-52.2037
23,29.0,V- 53,52.944336765,0.0,1.61M 4,-51.4436
23,30.0,V- 54,53.94643864,0.0,49.8S 5,-51.85
23,31.0,V- 55,54.947232487,0.0002,6.54S 15,-49.892
23,32.0,V- 56,55.950530966,0.0004,216MS 4,-49.14
23,33.0,V- 57,56.952561432,0.0004,350MS 10,-46.12
23,34.0,V- 58,57.956834136,0.0005,185MS 10,-44.23
23,35.0,V- 59,58.960207407,0.0006,97MS 2,-40.32
23,36.0,V- 60,59.965026862,0.0008,122MS 18,-37.83
23,37.0,V- 61,60.9683,0.0005,41MS 1,-33.24
23,38.0,V- 62,61.97354,0.0007,33.5MS 20,-30.51
23,39.0,V- 63,62.97732,0.0009,17MS 3,-25.48
23,40.0,V- 64,63.98322,0.0008,,-21.99
23,41.0,,,,,-16.17
23,42.0,,,,,-11.64
23,43.0,,,,,-5.61
24,18.0,Cr- 42,42.00697,0.0008,13.4MS +36 -24,6.24
24,18.0,Cr- 43,42.99792,0.0005,21.6MS 7,6.24
24,19.0,Cr- 44,43.98589,0.0005,53MS +4 -3,-2.3
24,20.0,Cr- 45,44.97917,0.0005,50MS 6,-13.64
24,21.0,Cr- 46,45.968358861,0.0,0.26S 6,-19.51
24,22.0,Cr- 47,46.962899896,0.0,500MS 15,-29.474
24,23.0,Cr- 48,47.954029097,0.0,21.56H 3,-34.561
24,24.0,Cr- 49,48.951333102,0.0,42.3M 1,-42.822
24,25.0,Cr- 50,49.946041586,0.0,1.8E+17Y GT,-45.3327
24,26.0,Cr- 51,50.944764777,0.0,27.7010D 11,-50.2617
24,27.0,Cr-nat,51.9961,0.0012,,-51.4511
24,27.0,Cr- 52,51.940506255,0.0,-1.0,-51.4511
24,28.0,Cr- 53,52.940648171,0.0,-1.0,-55.4181
24,29.0,Cr- 54,53.938879181,0.0,-1.0,-55.2859
24,30.0,Cr- 55,54.940838458,0.0,3.497M 3,-56.9337
24,31.0,Cr- 56,55.940653138,0.0,5.94M 10,-55.1086
24,32.0,Cr- 57,56.943613013,0.0,21.1S 10,-55.2812
24,33.0,Cr- 58,57.944353129,0.0004,7.0S 3,-52.5241
24,34.0,Cr- 59,58.948586367,0.0004,0.46S 5,-51.83
24,35.0,Cr- 60,59.950076033,0.0004,0.49S 1,-47.89
24,36.0,Cr- 61,60.954717204,0.0004,251MS 22,-46.5
24,37.0,Cr- 62,61.95661319,0.0006,209MS 12,-42.46
24,38.0,Cr- 63,62.96175,0.0005,113MS 16,-40.89
24,39.0,Cr- 64,63.96429,0.0005,43MS 1,-35.72
24,40.0,Cr- 65,64.97018,0.0005,27MS 3,-33.46
24,41.0,Cr- 66,65.97387,0.0008,10MS 6,-27.98
24,42.0,Cr- 67,66.98016,0.001,,-24.54
24,43.0,,,,,-18.48
24,44.0,,,,,-14.88
25,19.0,,,,,6.66
25,20.0,Mn- 46,45.98716,0.0003,36.2MS 4,-5.13
25,21.0,Mn- 47,46.9761,0.0004,100MS 50,-12.96
25,22.0,Mn- 48,47.96852,0.0003,158.1MS 22,-22.57
25,23.0,Mn- 49,48.959618991,0.0001,382MS 7,-29.32
25,24.0,Mn- 50,49.954237534,0.0,283.10MS 14,-37.637
25,25.0,Mn- 51,50.948208247,0.0,46.2M 1,-42.6272
25,26.0,Mn- 52,51.945563981,0.0,5.591D 3,-48.2435
25,27.0,Mn- 53,52.941288916,0.0,3.7E+6Y 4,-50.7069
25,28.0,Mn- 54,53.940357638,0.0,312.05D 4,-54.68899999999999
25,29.0,Mn-nat,54.938045,0.0,,-55.5565
25,29.0,Mn- 55,54.938043937,0.0,-1.0,-55.5565
25,30.0,Mn- 56,55.938903718,0.0,2.5789H 1,-57.7117
25,31.0,Mn- 57,56.938286101,0.0,85.4S 18,-56.9108
25,32.0,Mn- 58,57.940066698,0.0,3.0S 1,-57.4861
25,33.0,Mn- 59,58.940391168,0.0,4.59S 5,-55.8276
25,34.0,Mn- 60,59.943136634,0.0,0.28S 2,-55.5253
25,35.0,Mn- 61,60.944452605,0.0,0.67S 4,-52.9679
25,36.0,Mn- 62,61.948275675,0.0,0.88S 15,-51.7421
25,37.0,Mn- 63,62.949664741,0.0,275MS 4,-48.48
25,38.0,Mn- 64,63.95384937,0.0,90MS 4,-46.887
25,39.0,Mn- 65,64.95601975,0.0,92MS 1,-42.989
25,40.0,Mn- 66,65.960546834,0.0,66MS 4,-40.967
25,41.0,Mn- 67,66.96474,0.0006,42MS 4,-36.75
25,42.0,Mn- 68,67.96999,0.0008,28MS 4,-33.31
25,43.0,Mn- 69,68.97383,0.0009,14MS 4,-28.3
25,44.0,,,,,-24.54
25,45.0,,,,,-19.22
25,46.0,,,,,-15.2
26,19.0,Fe- 45,45.014807,0.0005,4.0MS +3 -1,13.43
26,20.0,Fe- 46,46.00081,0.0008,13.0MS 20,0.59
26,20.0,Fe- 47,46.9929,0.0006,21.8MS 7,0.59
26,21.0,Fe- 48,47.980504,0.0002,44MS 7,-7.59
26,22.0,Fe- 49,48.97335,0.0003,70MS 3,-18.42
26,23.0,Fe- 50,49.962975035,0.0001,150MS 20,-24.751
26,24.0,Fe- 51,50.956820524,0.0,305MS 5,-34.49
26,25.0,Fe- 52,51.948112391,0.0,8.275H 8,-40.202
26,26.0,Fe- 53,52.945306459,0.0,8.51M 2,-48.332
26,27.0,Fe- 54,53.939609017,0.0,-1.0,-50.9467
26,28.0,Fe- 55,54.938292023,0.0,2.744Y 9,-56.2539
26,29.0,Fe-nat,55.845,0.0036,,-57.4806
26,29.0,Fe- 56,55.934936355,0.0,-1.0,-57.4806
26,30.0,Fe- 57,56.93539287,0.0,-1.0,-60.6064
26,31.0,Fe- 58,57.93327446,0.0,-1.0,-60.1812
26,32.0,Fe- 59,58.934874367,0.0,44.495D 9,-62.1545
26,33.0,Fe- 60,59.934070586,0.0,1.5E+6Y 3,-60.6642
26,34.0,Fe- 61,60.936746305,0.0,5.98M 6,-61.412
26,35.0,Fe- 62,61.936791875,0.0,68S 2,-58.9205
26,36.0,Fe- 63,62.9402727,0.0,6.1S 6,-58.878
26,37.0,Fe- 64,63.9409878,0.0,2.0S 2,-55.636
26,38.0,Fe- 65,64.9450115,0.0,1.32S 28,-54.97
26,39.0,Fe- 66,65.94624996,0.0,440MS 60,-51.221
26,40.0,Fe- 67,66.950947244,0.0007,470MS 50,-50.06800000000001
26,41.0,Fe- 68,67.9537,0.0011,132MS 39,-46.07
26,42.0,Fe- 69,68.95878,0.0008,170MS 30,-43.83
26,43.0,Fe- 70,69.96102,0.0009,94MS 17,-39.06
26,44.0,Fe- 71,70.96672,0.0012,,-36.31
26,45.0,Fe- 72,71.96962,0.0012,,-31.0
26,46.0,,,,,-28.1
26,47.0,,,,,-22.62
26,48.0,,,,,-19.24
27,20.0,,,,,9.85
27,21.0,,,,,0.87
27,22.0,Co- 50,49.98154,0.0004,38.81MS 26,-10.33
27,23.0,Co- 51,50.97072,0.0003,68.8MS 19,-17.78
27,24.0,Co- 52,51.96359,0.0001,115MS 23,-27.34
27,25.0,Co- 53,52.954204108,0.0,240MS 20,-33.99
27,26.0,Co- 54,53.948459903,0.0,193.28MS 7,-42.6586
27,27.0,Co- 55,54.941997233,0.0,17.53H 3,-48.0093
27,28.0,Co- 56,55.939838831,0.0,77.233D 27,-54.0293
27,29.0,Co- 57,56.936290607,0.0,271.74D 6,-56.0398
27,30.0,Co- 58,57.935752108,0.0,70.86D 6,-59.3449
27,31.0,Co-nat,58.933195,0.0,,-59.8466
27,31.0,Co- 59,58.933194324,0.0,-1.0,-59.8466
27,32.0,Co- 60,59.933816335,0.0,1925.28D 14,-62.2291
27,33.0,Co- 61,60.932476667,0.0,1.650H 5,-61.6497
27,34.0,Co- 62,61.93405086,0.0,1.50M 4,-62.8976
27,35.0,Co- 63,62.933612515,0.0,27.4S 5,-61.424
27,36.0,Co- 64,63.935810812,0.0,0.30S 3,-61.851000000000006
27,37.0,Co- 65,64.9364621,0.0,1.20S 6,-59.792
27,38.0,Co- 66,65.939442945,0.0,0.233S 17,-59.1852
27,39.0,Co- 67,66.940609502,0.0,0.425S 20,-56.409
27,40.0,Co- 68,67.94427,0.0002,0.199S 21,-55.322
27,41.0,Co- 69,68.94632,0.0005,216MS 9,-51.92
27,42.0,Co- 70,69.951,0.0013,119MS 6,-50.17
27,43.0,Co- 71,70.9529,0.0013,79MS 5,-46.92
27,44.0,Co- 72,71.95738,0.0009,90MS 20,-44.37
27,45.0,Co- 73,72.96006,0.001,41MS 4,-39.78
27,46.0,Co- 74,73.96491,0.0012,,-36.9
27,47.0,Co- 75,74.96842,0.0011,,-32.46
27,48.0,,,,,-29.1
27,49.0,,,,,-24.1
28,20.0,Ni- 48,48.019337,0.0012,,16.48
28,21.0,Ni- 49,49.00936,0.0009,12MS +5 -3,7.17
28,21.0,Ni- 50,49.99614,0.0006,17.2MS 27,7.17
28,22.0,Ni- 51,50.98763,0.0006,23.8MS 2,-4.9
28,23.0,Ni- 52,51.97543,0.0004,38MS 5,-12.94
28,24.0,Ni- 53,52.96813,0.0006,45MS 15,-23.47
28,25.0,Ni- 54,53.957892574,0.0001,104MS 7,-29.631
28,26.0,Ni- 55,54.951330663,0.0,204.7MS 37,-39.22
28,27.0,Ni- 56,55.94212858,0.0,6.075D 10,-45.3352
28,28.0,Ni- 57,56.939792217,0.0,35.60H 6,-53.9069
28,29.0,Ni- 58,57.93534245,0.0,-1.0,-56.0832
28,30.0,Ni-nat,58.6934,0.0007,,-60.2282
28,30.0,Ni- 59,58.934346238,0.0,7.6E+4Y 5,-60.2282
28,31.0,Ni- 60,59.93078592,0.0,-1.0,-61.1561
28,32.0,Ni- 61,60.931055607,0.0,-1.0,-64.4725
28,33.0,Ni- 62,61.928345412,0.0,-1.0,-64.2213
28,34.0,Ni- 63,62.929669673,0.0,100.1Y 20,-66.7459
28,35.0,Ni- 64,63.927966864,0.0,-1.0,-65.5123
28,36.0,Ni- 65,64.93008522,0.0,2.51719H 26,-67.0985
28,37.0,Ni- 66,65.929139334,0.0,54.6H 3,-65.1252
28,38.0,Ni- 67,66.931569414,0.0,21S 1,-66.0063
28,39.0,Ni- 68,67.931868789,0.0,29S 2,-63.7427
28,40.0,Ni- 69,68.935610269,0.0,11.4S 3,-63.4638
28,41.0,Ni- 70,69.936431555,0.0,6.0S 3,-59.979
28,42.0,Ni- 71,70.94051922,0.0,2.56S 3,-59.2139
28,43.0,Ni- 72,71.941786184,0.0,1.57S 5,-55.4062
28,44.0,Ni- 73,72.946206944,0.0,0.84S 3,-54.2261
28,45.0,Ni- 74,73.94773,0.0006,0.68S 18,-50.1082
28,46.0,Ni- 75,74.95267,0.0006,344MS +20 -24,-48.46
28,47.0,Ni- 76,75.95533,0.0007,238MS +15 -18,-44.25
28,48.0,Ni- 77,76.96055,0.0007,128MS +27 -33,-41.61
28,49.0,Ni- 78,77.96336,0.0011,110MS +100 -60,-36.75
28,50.0,,,,,-34.13
28,51.0,,,,,-27.71
29,23.0,,,,,-3.07
29,24.0,,,,,-14.35
29,25.0,Cu- 55,54.96611,0.0006,27MS 8,-21.74
29,26.0,Cu- 56,55.95895,0.0008,93MS 3,-31.64
29,27.0,Cu- 57,56.94921253,0.0,196.3MS 7,-38.24
29,28.0,Cu- 58,57.944533082,0.0,3.204S 7,-47.3083
29,29.0,Cu- 59,58.939497518,0.0,81.5S 5,-51.6671
29,30.0,Cu- 60,59.937364579,0.0,23.7M 4,-56.3577
29,31.0,Cu- 61,60.933457742,0.0,3.333H 5,-58.3446
29,32.0,Cu- 62,61.932595462,0.0,9.673M 8,-61.9838
29,33.0,Cu- 63,62.92959777,0.0,-1.0,-62.787
29,34.0,Cu-nat,63.546,0.0047,,-65.5793
29,34.0,Cu- 64,63.92976439,0.0,12.700H 2,-65.5793
29,35.0,Cu- 65,64.927789809,0.0,-1.0,-65.4241
29,36.0,Cu- 66,65.928869136,0.0,5.120M 14,-67.2635
29,37.0,Cu- 67,66.927730314,0.0,61.83H 12,-66.2581
29,38.0,Cu- 68,67.929610889,0.0,31.1S 15,-67.3188
29,39.0,Cu- 69,68.929429269,0.0,2.85M 15,-65.567
29,40.0,Cu- 70,69.932392079,0.0,44.5S 2,-65.7362
29,41.0,Cu- 71,70.932676833,0.0,19.5S 16,-62.9764
29,42.0,Cu- 72,71.935820307,0.0,6.63S 3,-62.7111
29,43.0,Cu- 73,72.936674576,0.0,4.2S 3,-59.783
29,44.0,Cu- 74,73.939874862,0.0,1.63S 5,-58.9874
29,45.0,Cu- 75,74.941522874,0.0,1.224S 3,-56.006
29,46.0,Cu- 76,75.945275026,0.0,0.641S 6,-54.4713
29,47.0,Cu- 77,76.94815,0.0007,0.469S 8,-50.976000000000006
29,48.0,Cu- 78,77.95223,0.0007,342MS 11,-48.51
29,49.0,Cu- 79,78.95502,0.0005,188MS 25,-44.5
29,50.0,Cu- 80,79.96089,0.0008,,-41.9
29,51.0,,,,,-36.43
29,52.0,,,,,-31.79
29,53.0,,,,,-25.67
30,23.0,Zn- 54,53.993581,0.0009,3.2MS +18 -8,
30,24.0,Zn- 55,54.98454,0.0008,19.8MS 13,-7.42
30,25.0,Zn- 56,55.97297,0.0008,30.0MS 17,-14.92
30,26.0,Zn- 57,56.96506,0.0004,40MS 10,-25.58
30,27.0,Zn- 58,57.954591097,0.0001,84MS 9,-32.55
30,28.0,Zn- 59,58.949312693,0.0,182.0MS 18,-42.3
30,29.0,Zn- 60,59.941842139,0.0,2.38M 5,-47.215
30,30.0,Zn- 61,60.939513026,0.0,89.1S 2,-54.1737
30,31.0,Zn- 62,61.934334018,0.0,9.26H 2,-56.349
30,32.0,Zn- 63,62.933211583,0.0,38.47M 5,-61.1675
30,33.0,Zn- 64,63.929142143,0.0,-1.0,-62.2131
30,34.0,Zn- 65,64.929240896,0.0,244.06D 10,-66.0038
30,35.0,Zn-nat,65.38,0.0306,,-65.9118
30,35.0,Zn- 66,65.926033853,0.0,-1.0,-65.9118
30,36.0,Zn- 67,66.92712779,0.0,-1.0,-68.8991
30,37.0,Zn- 68,67.924844598,0.0,-1.0,-67.8801
30,38.0,Zn- 69,68.926550725,0.0,56.4M 9,-70.0068
30,39.0,Zn- 70,69.925319312,0.0,-1.0,-68.4176
30,40.0,Zn- 71,70.927719435,0.0,2.45M 10,-69.5647
30,41.0,Zn- 72,71.926842807,0.0,46.5H 1,-67.3288
30,42.0,Zn- 73,72.929582582,0.0,23.5S 10,-68.1455
30,43.0,Zn- 74,73.929407262,0.0,95.6S 12,-65.5934
30,44.0,Zn- 75,74.932840246,0.0,10.2S 2,-65.7567
30,45.0,Zn- 76,75.933114958,0.0,5.7S 3,-62.5589
30,46.0,Zn- 77,76.9368872,0.0,2.08S 5,-62.303
30,47.0,Zn- 78,77.938289207,0.0,1.47S 15,-58.7892
30,48.0,Zn- 79,78.94263807,0.0,0.995S 19,-57.4832
30,49.0,Zn- 80,79.944552931,0.0,0.545S 16,-53.4323
30,50.0,Zn- 81,80.950402619,0.0,0.29S 5,-51.6486
30,51.0,Zn- 82,81.95426,0.0005,,-46.2
30,52.0,Zn- 83,82.96056,0.0007,,-42.61
30,53.0,,,,,-36.74
30,54.0,,,,,-32.41
30,55.0,,,,,-25.84
31,25.0,,,,,-4.32
31,26.0,,,,,-15.65
31,27.0,,,,,-23.49
31,28.0,Ga- 60,59.95729,0.0004,70MS 13,-33.97
31,29.0,Ga- 61,60.949448677,0.0001,116.18MS 4,-39.78
31,30.0,Ga- 62,61.944190298,0.0,116.121MS 21,-47.13
31,31.0,Ga- 63,62.939294195,0.0,32.4S 5,-51.9864
31,32.0,Ga- 64,63.936839641,0.0,2.627M 12,-56.5471
31,33.0,Ga- 65,64.932734691,0.0,15.2M 2,-58.8328
31,34.0,Ga- 66,65.931589444,0.0,9.49H 7,-62.6573
31,35.0,Ga- 67,66.928202574,0.0,3.2617D 5,-63.724
31,36.0,Ga- 68,67.927980528,0.0,67.71M 9,-66.8789
31,37.0,Ga- 69,68.9255736,0.0,-1.0,-67.0857
31,38.0,Ga-nat,69.723,0.0014,,-69.3278
31,38.0,Ga- 70,69.926021987,0.0,21.14M 3,-69.3278
31,39.0,Ga- 71,70.924702584,0.0,-1.0,-68.9101
31,40.0,Ga- 72,71.926367481,0.0,14.10H 1,-70.1391
31,41.0,Ga- 73,72.925174682,0.0,4.86H 3,-68.5883
31,42.0,Ga- 74,73.926945762,0.0,8.12M 12,-69.6993
31,43.0,Ga- 75,74.926500246,0.0,126S 2,-68.0496
31,44.0,Ga- 76,75.928827626,0.0,32.6S 6,-68.4646
31,45.0,Ga- 77,76.9291543,0.0,13.2S 2,-66.2966
31,46.0,Ga- 78,77.931608846,0.0,5.09S 5,-65.9923
31,47.0,Ga- 79,78.932852304,0.0,2.847S 3,-63.7059
31,48.0,Ga- 80,79.936420778,0.0,1.697S 11,-62.5477
31,49.0,Ga- 81,80.938133846,0.0,1.217S 5,-59.2237
31,50.0,Ga- 82,81.943176536,0.0,0.599S 3,-57.628
31,51.0,Ga- 83,82.947120304,0.0,0.31S 1,-52.9307
31,52.0,Ga- 84,83.95246,0.0005,85MS 10,-49.2571
31,53.0,Ga- 85,84.95681,0.0006,,-44.28
31,54.0,Ga- 86,85.96301,0.0009,,-40.06
31,55.0,,,,,-34.46
31,56.0,,,,,-29.58
32,26.0,,,,,-7.71
32,27.0,Ge- 60,59.97036,0.0004,,-16.31
32,28.0,Ge- 61,60.96379,0.0005,40MS 15,-27.61
32,29.0,Ge- 62,61.95465,0.0002,129MS 35,-33.73
32,30.0,Ge- 63,62.949628,0.0001,142MS 8,-41.9
32,31.0,Ge- 64,63.941689913,0.0,63.7S 25,-46.92
32,32.0,Ge- 65,64.939365569,0.0,30.9S 5,-54.315
32,33.0,Ge- 66,65.933862197,0.0,2.26H 5,-56.4782
32,34.0,Ge- 67,66.932733991,0.0,18.9M 3,-61.607
32,35.0,Ge- 68,67.928095321,0.0,270.95D 16,-62.658
32,36.0,Ge- 69,68.927964547,0.0,39.05H 10,-66.9788
32,37.0,Ge- 70,69.924248757,0.0,-1.0,-67.1007
32,38.0,Ge- 71,70.924952334,0.0,11.43D 3,-70.5618
32,39.0,Ge- 72,71.922076084,0.0,-1.0,-69.9065
32,40.0,Ge-nat,72.64,0.0138,,-72.5859
32,40.0,Ge- 73,72.923459215,0.0,-1.0,-72.5859
32,41.0,Ge- 74,73.921178037,0.0,-1.0,-71.2975
32,42.0,Ge- 75,74.922859219,0.0,82.78M 4,-73.4224
32,43.0,Ge- 76,75.921402756,0.0,-1.0,-71.857
32,44.0,Ge- 77,76.92354876,0.0,11.30H 1,-73.2129
32,45.0,Ge- 78,77.922852938,0.0,88M 1,-71.2129
32,46.0,Ge- 79,78.925360072,0.0001,18.98S 3,-71.862
32,47.0,Ge- 80,79.925350707,0.0,29.5S 4,-69.53
32,48.0,Ge- 81,80.928832946,0.0,7.6S,-69.5353
32,49.0,Ge- 82,81.929774036,0.0,4.55S 5,-66.2917
32,50.0,Ge- 83,82.934539104,0.0,1.85S 6,-65.4151
32,51.0,Ge- 84,83.937575094,0.0,0.947S 11,-60.9764
32,52.0,Ge- 85,84.942969663,0.0,535MS 47,-58.148
32,53.0,Ge- 86,85.94658,0.0005,,-53.12300000000001
32,54.0,Ge- 87,86.95251,0.0006,,-49.76
32,55.0,Ge- 88,87.9568,0.0009,,-44.08
32,56.0,Ge- 89,88.96366,0.001,,-40.14
32,57.0,,,,,-33.73
32,58.0,,,,,-29.22
33,27.0,,,,,-5.7
33,28.0,,,,,-17.59
33,29.0,,,,,-24.58
33,30.0,As- 64,63.957754,0.0005,18MS +43 -7,-33.63
33,31.0,As- 65,64.949611,0.0001,128MS 16,-39.65
33,32.0,As- 66,65.944145007,0.0,95.77MS 23,-46.94
33,33.0,As- 67,66.939252447,0.0,42.5S 12,-52.025
33,34.0,As- 68,67.93677413,0.0,151.6S 8,-56.5872
33,35.0,As- 69,68.932273926,0.0,15.23M 16,-58.8945
33,36.0,As- 70,69.930926202,0.0001,52.6M 3,-63.11
33,37.0,As- 71,70.927113808,0.0,65.28H 15,-64.34
33,38.0,As- 72,71.926752553,0.0,26.0H 1,-67.893
33,39.0,As- 73,72.923829326,0.0,80.30D 6,-68.23
33,40.0,As- 74,73.923928916,0.0,17.77D 2,-70.953
33,41.0,As-nat,74.9216,0.0,,-70.8601
33,41.0,As- 75,74.921595017,0.0,-1.0,-70.8601
33,42.0,As- 76,75.922392549,0.0,26.24H 9,-73.0342
33,43.0,As- 77,76.920647457,0.0,38.83H 5,-72.2914
33,44.0,As- 78,77.92182736,0.0,90.7M 2,-73.9163
33,45.0,As- 79,78.920948011,0.0,9.01M 15,-72.817
33,46.0,As- 80,79.922520623,0.0,15.2S 2,-73.63600000000002
33,47.0,As- 81,80.922132256,0.0,33.3S 8,-72.214
33,48.0,As- 82,81.924741236,0.0,19.1S 5,-72.5333
33,49.0,As- 83,82.925206904,0.0,13.4S 3,-70.10300000000001
33,50.0,As- 84,83.929303294,0.0,4.5S 2,-69.6693
33,51.0,As- 85,84.932163663,0.0,2.028S 12,-65.854
33,52.0,As- 86,85.936701536,0.0,0.945S 8,-63.18899999999999
33,53.0,As- 87,86.940291721,0.0,0.48S 4,-58.962
33,54.0,As- 88,87.94537,0.0005,,-55.6179
33,55.0,As- 89,88.94961,0.0006,,-50.72
33,56.0,As- 90,89.95563,0.0007,,-46.8
33,57.0,As- 91,90.96039,0.0007,,-41.33
33,58.0,As- 92,91.96674,0.0008,,-36.9
33,59.0,,,,,-30.98
34,29.0,Se- 64,63.97109,0.0008,,
34,30.0,Se- 65,64.96466,0.001,,-26.93
34,31.0,Se- 66,65.95521,0.0005,33MS 12,-33.16
34,32.0,Se- 67,66.949994,0.0001,136MS 12,-41.37
34,33.0,Se- 68,67.941825215,0.0,35.5S 7,-46.58
34,34.0,Se- 69,68.939558583,0.0001,27.4S 2,-54.1894
34,35.0,Se- 70,69.933515523,0.0,41.1M 3,-56.4347
34,36.0,Se- 71,70.932209433,0.0,4.74M 5,-61.9299
34,37.0,Se- 72,71.927140507,0.0,8.40D 8,-63.1465
34,38.0,Se- 73,72.926755005,0.0,7.15H 8,-67.8682
34,39.0,Se- 74,73.922476448,0.0,-1.0,-68.227
34,40.0,Se- 75,74.922523382,0.0,119.79D 4,-72.2132
34,41.0,Se- 76,75.919213793,0.0,-1.0,-72.1695
34,42.0,Se- 77,76.919914243,0.0,-1.0,-75.252
34,43.0,Se- 78,77.917309368,0.0,-1.0,-74.5995
34,44.0,Se-nat,78.96,0.038,,-77.0259
34,44.0,Se- 79,78.918499375,0.0,2.95E+5Y 38(*),-77.0259
34,45.0,Se- 80,79.916521349,0.0,-1.0,-75.9174
34,46.0,Se- 81,80.917992553,0.0,18.45M 12,-77.7595
34,47.0,Se- 82,81.916699401,0.0,0.83E+20Y 8,-76.389
34,48.0,Se- 83,82.919118473,0.0,22.3M 3,-77.5939
34,49.0,Se- 84,83.918466794,0.0,3.1M 1,-75.34100000000002
34,50.0,Se- 85,84.922260763,0.0,31.7S 9,-75.9477
34,51.0,Se- 86,85.924311736,0.0,15.3S 9,-72.4136
34,52.0,Se- 87,86.928688621,0.0,5.29S 11,-70.5032
34,53.0,Se- 88,87.931417494,0.0,1.53S 6,-66.4261
34,54.0,Se- 89,88.936669063,0.0,0.41S 4,-63.88399999999999
34,55.0,Se- 90,89.93996,0.0005,,-58.992
34,56.0,Se- 91,90.94596,0.0006,0.27S 5,-55.8
34,57.0,Se- 92,91.94984,0.0007,,-50.34
34,58.0,Se- 93,92.95629,0.0009,,-46.72
34,59.0,Se- 94,93.96049,0.0009,,-40.72
34,60.0,,,,,-36.8
34,61.0,,,,,-30.46
35,32.0,Br- 68,67.95842,0.0005,,-32.93
35,33.0,Br- 69,68.950133,0.0002,,-38.44
35,34.0,Br- 70,69.944792323,0.0,79.1MS 8,-46.11
35,35.0,Br- 71,70.939342155,0.0,21.4S 6,-51.426
35,36.0,Br- 72,71.936588565,0.0,78.6S 24,-56.502
35,37.0,Br- 73,72.931671449,0.0,3.4M 3,-59.067
35,38.0,Br- 74,73.929913629,0.0,25.4M 3,-63.648
35,39.0,Br- 75,74.925810399,0.0,96.7M 13,-65.288
35,40.0,Br- 76,75.924541666,0.0,16.2H 2,-69.107
35,41.0,Br- 77,76.921379287,0.0,57.036H 5,-70.289
35,42.0,Br- 78,77.921145983,0.0,6.46M 4,-73.2348
35,43.0,Br- 79,78.918337165,0.0,-1.0,-73.452
35,44.0,Br-nat,79.904,0.0013,,-76.0681
35,44.0,Br- 80,79.918529374,0.0,17.68M 2,-76.0681
35,45.0,Br- 81,80.916289757,0.0,-1.0,-75.889
35,46.0,Br- 82,81.916803313,0.0,35.282H 7,-77.9757
35,47.0,Br- 83,82.915183109,0.0,2.40H 2,-77.4973
35,48.0,Br- 84,83.916489708,0.0,31.80M 8,-79.013
35,49.0,Br- 85,84.915645763,0.0,2.90M 6,-77.783
35,50.0,Br- 86,85.918805436,0.0,55.0S 8,-78.575
35,51.0,Br- 87,86.920674021,0.0,55.60S 15,-75.632
35,52.0,Br- 88,87.924083294,0.0,16.5S 1,-73.892
35,53.0,Br- 89,88.926704563,0.0,4.40S 3,-70.71600000000002
35,54.0,Br- 90,89.931292853,0.0,1.92S 2,-68.274
35,55.0,Br- 91,90.934398621,0.0,0.541S 5,-64.0
35,56.0,Br- 92,91.9396316,0.0,0.343S 15,-61.107
35,57.0,Br- 93,92.94326,0.0002,102MS 10,-56.233
35,58.0,Br- 94,93.9489,0.0005,70MS 20,-52.97
35,59.0,Br- 95,94.95287,0.0006,,-47.6
35,60.0,Br- 96,95.95883,0.0007,,-43.77
35,61.0,Br- 97,96.96295,0.0009,,-38.16
35,62.0,,,,,-34.06
35,63.0,,,,,-28.45
36,32.0,Kr- 69,68.96518,0.0006,32MS 10,
36,33.0,Kr- 70,69.955384,0.0006,52MS 17,-32.44
36,34.0,Kr- 71,70.950265696,0.0002,64MS +8 -5,-40.95
36,35.0,Kr- 72,71.942092407,0.0,17.2S 3,-46.33
36,36.0,Kr- 73,72.939289195,0.0,27.3S 10,-53.941
36,37.0,Kr- 74,73.933084374,0.0,11.50M 11,-56.552
36,38.0,Kr- 75,74.930945746,0.0,4.29M 17,-62.3318
36,39.0,Kr- 76,75.925910143,0.0,14.8H 1,-64.324
36,40.0,Kr- 77,76.92467,0.0,74.4M 6,-69.014
36,41.0,Kr- 78,77.920364951,0.0,2.0E+21Y GE,-70.1694
36,42.0,Kr- 79,78.920082509,0.0,35.04H 10,-74.1796
36,43.0,Kr- 80,79.916378898,0.0,-1.0,-74.442
36,44.0,Kr- 81,80.916591256,0.0,2.29E+5Y 11,-77.8933
36,45.0,Kr- 82,81.91348275,0.0,-1.0,-77.6948
36,46.0,Kr- 83,82.914127143,0.0,-1.0,-80.5903
36,47.0,Kr-nat,83.798,0.0024,,-79.99
36,47.0,Kr- 84,83.91149772821,0.0,-1.0,-79.99
36,48.0,Kr- 85,84.912527262,0.0,10.756Y 18,-82.4393
36,49.0,Kr- 86,85.910610627,0.0,-1.0,-81.4803
