Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M
8,12.0,O- 20,20.004075354,0.0,13.51S 5,3.7962
8,13.0,O- 21,21.008654882,0.0001,3.42S 10,8.062000000000001
8,14.0,O- 22,22.009964211,0.0003,2.25S 9,9.28
8,15.0,O- 23,23.015695922,0.0004,97MS 8,14.62
8,16.0,O- 24,24.019861,0.0005,61MS 26,18.5
8,17.0,,,,,27.35
8,18.0,,,,,34.73
8,19.0,,,,,44.45
8,20.0,,,,,52.08
9,5.0,,,,,31.96
9,6.0,,,,,16.81
9,7.0,F- 16,16.011465724,0.0001,1.0E-19S,10.68
9,8.0,F- 17,17.002095237,0.0,64.49S 16,1.9517
9,9.0,F-nat,18.9984032,0.0,,0.8731
9,9.0,F- 18,18.000937325,0.0,109.77M 5,0.8731
9,9.0,F- 19,18.99840316273,0.0,-1.0,0.8731
9,10.0,F- 20,19.999981252,0.0,11.163S 8,-1.48744
9,11.0,F- 21,20.99994889,0.0,4.158S 20,-0.017463
9,12.0,,,,,-0.0476
9,13.0,F- 22,22.002998814,0.0001,4.23S 4,2.793
9,14.0,F- 23,23.003553,0.0005,2.23S 13,3.31
9,15.0,F- 24,24.008115485,0.0003,390MS 70,7.56
9,16.0,F- 25,25.012199229,0.0003,50MS 6,11.36
9,17.0,F- 26,26.020037768,0.0003,9.6MS 8,18.67
9,18.0,F- 27,27.026441,0.0008,5.2MS 3,24.63
9,19.0,,,,,32.92
9,20.0,F- 29,29.04289,0.0021,2.4MS 4,39.63
9,21.0,,,,,48.11
9,22.0,F- 31,31.060059,0.0021,,55.62
10,6.0,,,,,23.986
10,7.0,Ne- 17,17.017713963,0.0,109.2MS 6,16.5005
10,8.0,Ne- 18,18.005708704,0.0,1.6656S 19,5.3176
10,9.0,Ne- 19,19.001880907,0.0,17.22S 2,1.75205
10,9.0,Ne- 20,19.99244017617,0.0,-1.0,1.75205
10,10.0,Ne-nat,20.1797,0.003,,-7.041930000000002
10,10.0,Ne- 21,20.993846685,0.0,-1.0,-7.041930000000002
10,11.0,Ne- 22,21.991385115,0.0,-1.0,-5.7317800000000005
10,12.0,Ne- 23,22.994466906,0.0,37.24S 12,-8.02471
10,13.0,Ne- 24,23.99361065,0.0,3.38M 2,-5.15404
10,14.0,Ne- 25,24.997788714,0.0002,602MS 8,-5.9516
10,15.0,,,,,-2.06
10,16.0,Ne- 26,26.000514705,0.0001,197MS 1,0.479
10,17.0,Ne- 27,27.007553268,0.0003,32MS 2,7.04
10,18.0,Ne- 28,28.012121998,0.0004,19MS 3,11.29
10,19.0,Ne- 29,29.019753,0.0004,14.8MS 3,18.4
10,20.0,Ne- 30,30.024734,0.001,7.3MS 3,23.04
10,21.0,Ne- 31,31.033087,0.0056,3.4MS 8,30.82
10,22.0,Ne- 32,32.03972,0.0017,3.5MS 9,37.0
10,23.0,,,,,46.0
10,24.0,Ne- 34,34.056728,0.0016,,52.84
11,7.0,,,,,25.04
11,8.0,,,,,12.929
11,9.0,Na- 20,20.007354013,0.0,447.9MS 23,6.8506
11,9.0,Na- 21,20.997654696,0.0,22.49S 4,6.8506
11,10.0,Na- 22,21.994437411,0.0,2.6027Y 10,-2.1846400000000004
11,11.0,Na-nat,22.98976928,0.0,,-5.18152
11,11.0,Na- 23,22.98976928197,0.0,-1.0,-5.18152
11,12.0,Na- 24,23.99096295,0.0,14.997H 12,-9.52985
11,13.0,Na- 25,24.98995397,0.0,59.1S 6,-8.41796
11,14.0,Na- 26,25.992634649,0.0,1.077S 5,-9.3578
11,15.0,Na- 27,26.994076578,0.0,301MS 6,-6.8610000000000015
